,mphands_data,eit_data
0,"[-0.0009969957172870636, 0.09724252671003342, -0.008500024676322937, -0.026929164305329323, 0.07080463320016861, 0.0026811733841896057, -0.042305417358875275, 0.046813372522592545, 0.009465143084526062, -0.05461135506629944, 0.017663845792412758, 0.012634441256523132, -0.051848962903022766, -0.003964312374591827, 0.01707923412322998, -0.02387208491563797, -0.0010845381766557693, 0.02106030285358429, -0.03057836927473545, -0.02894100360572338, 0.012843310832977295, -0.04788408428430557, -0.03812551125884056, 9.644031524658203e-05, -0.07033444941043854, -0.03459455445408821, -0.021434418857097626, -0.0028783672023564577, -0.00405243830755353, 0.009249821305274963, -0.005796461366117001, -0.04177475720643997, -0.0014321058988571167, -0.026162169873714447, -0.0561581552028656, -0.019248493015766144, -0.04999176412820816, -0.06144463270902634, -0.03495416045188904, 0.01560840755701065, -0.0008809067658148706, -0.013542458415031433, 0.01779516227543354, -0.03180775046348572, -0.01985587179660797, 0.0028437122236937284, -0.046851422637701035, -0.03631967306137085, -0.01948608085513115, -0.05104830116033554, -0.04947167634963989, 0.02245563641190529, 0.015123378485441208, -0.03264227509498596, 0.034357838332653046, -0.00606162054464221, -0.036144375801086426, 0.02815757505595684, -0.026272691786289215, -0.04476749897003174, 0.010354035533964634, -0.03563350439071655, -0.05626029521226883]","[0.0, 0.0, 0.12343749999999999, 0.0, 0.0, 0.0, 0.0, 1.2594124999999998, 1.2662749999999998, 0.0, 0.0, 0.0, 0.0, 1.2682499999999999, 0.0, 0.0, 0.0, 0.0, -0.3651249999999999, 0.0, 0.0, 0.0, 0.0, -1.4119625, 2.0554250000000005, 0.0, 0.0, 0.0, 0.0, -1.082125, 0.0, 0.0]"
1,"[0.00035836268216371536, 0.09683452546596527, -0.005692962557077408, -0.026655666530132294, 0.07050377130508423, 0.004793234169483185, -0.04282953217625618, 0.04691378027200699, 0.011002063751220703, -0.05680646747350693, 0.01754903420805931, 0.013415809720754623, -0.053568366914987564, -0.0038549634627997875, 0.01634305715560913, -0.024205107241868973, -0.00120861129835248, 0.020935647189617157, -0.031373996287584305, -0.029611151665449142, 0.013246133923530579, -0.04867621511220932, -0.038697708398103714, -0.00012997537851333618, -0.07139476388692856, -0.034472834318876266, -0.02186741679906845, -0.0030892614740878344, -0.004167129751294851, 0.00907985121011734, -0.005568468011915684, -0.04197494685649872, -0.001360289752483368, -0.02584340050816536, -0.056444235146045685, -0.019217699766159058, -0.05053320899605751, -0.061564717441797256, -0.035101622343063354, 0.016017450019717216, -0.0007646846934221685, -0.013385370373725891, 0.01836603693664074, -0.03169146925210953, -0.019999638199806213, 0.0031732574570924044, -0.046976007521152496, -0.036070674657821655, -0.019033560529351234, -0.05074266344308853, -0.04966332018375397, 0.0228977520018816, 0.01584218069911003, -0.032166093587875366, 0.03534204885363579, -0.005536230280995369, -0.03559128940105438, 0.029173221439123154, -0.025868961587548256, -0.044596076011657715, 0.012097430415451527, -0.03490479290485382, -0.05575117468833923]","[0.0, 0.0, 0.12279999999999999, 0.0, 0.0, 0.0, 0.0, 1.2593, 1.26622, 0.0, 0.0, 0.0, 0.0, 1.26824, 0.0, 0.0, 0.0, 0.0, -0.36878, 0.0, 0.0, 0.0, 0.0, -1.4132200000000001, 2.0550800000000002, 0.0, 0.0, 0.0, 0.0, -1.0831199999999999, 0.0, 0.0]"
2,"[0.0013488596305251122, 0.09497963637113571, -0.0079469233751297, -0.025869641453027725, 0.06975792348384857, 0.0042937397956848145, -0.042929720133543015, 0.04750577360391617, 0.014057070016860962, -0.06181563064455986, 0.019687579944729805, 0.02927442267537117, -0.07205064594745636, -0.004500353708863258, 0.04418805241584778, -0.023842811584472656, -0.0008957181125879288, 0.020880475640296936, -0.03167475387454033, -0.02945135347545147, 0.013258934020996094, -0.047903504222631454, -0.03766951337456703, -8.804351091384888e-05, -0.07198305428028107, -0.03228190541267395, -0.02325797826051712, -0.0028889942914247513, -0.004007503855973482, 0.009144403040409088, -0.0073668817058205605, -0.04103616997599602, -0.002280905842781067, -0.02770194411277771, -0.05368321016430855, -0.02041659504175186, -0.05339517071843147, -0.05962768942117691, -0.037984877824783325, 0.015262166038155556, -0.000983108882792294, -0.01359536498785019, 0.01694932021200657, -0.030538666993379593, -0.020635664463043213, 0.0008547154720872641, -0.04668505862355232, -0.03695294260978699, -0.022858304902911186, -0.0519474558532238, -0.0510440394282341, 0.02220560610294342, 0.015480030328035355, -0.032342880964279175, 0.03452674299478531, -0.005003233905881643, -0.03671949356794357, 0.027162309736013412, -0.026033993810415268, -0.04783398658037186, 0.010060347616672516, -0.03609468787908554, -0.05890250205993652]","[0.0, 0.0, 0.12261999999999999, 0.0, 0.0, 0.0, 0.0, 1.2593, 1.2662400000000003, 0.0, 0.0, 0.0, 0.0, 1.26824, 0.0, 0.0, 0.0, 0.0, -0.37116000000000005, 0.0, 0.0, 0.0, 0.0, -1.4139199999999998, 2.05374, 0.0, 0.0, 0.0, 0.0, -1.08236, 0.0, 0.0]"
3,"[0.001593264751136303, 0.09430083632469177, -0.007146842777729034, -0.02501663565635681, 0.0686722993850708, 0.002856247127056122, -0.04343516752123833, 0.04719548672437668, 0.012364685535430908, -0.06377767771482468, 0.02052398957312107, 0.026164736598730087, -0.07927893102169037, -0.0015173554420471191, 0.04228612780570984, -0.024027252569794655, -0.00225658155977726, 0.020299598574638367, -0.03071792796254158, -0.02999749407172203, 0.010649457573890686, -0.04558086395263672, -0.03600703179836273, -0.0025504007935523987, -0.06805454939603806, -0.026326028630137444, -0.025124475359916687, -0.002665759064257145, -0.004202171228826046, 0.009266965091228485, -0.006755300797522068, -0.04101221263408661, -0.0032313913106918335, -0.027625372633337975, -0.05350515991449356, -0.02262943983078003, -0.05197765678167343, -0.05851447582244873, -0.03920644521713257, 0.015429702587425709, -0.00030057900585234165, -0.013149864971637726, 0.015969397500157356, -0.029757045209407806, -0.020766645669937134, 0.0006160461343824863, -0.04573282599449158, -0.03759174048900604, -0.02262483350932598, -0.05180666223168373, -0.052863962948322296, 0.022380825132131577, 0.015906261280179024, -0.03108111023902893, 0.033985577523708344, -0.004504186101257801, -0.037045665085315704, 0.027273567393422127, -0.0249728262424469, -0.04844966530799866, 0.009728636592626572, -0.034535765647888184, -0.060782358050346375]","[0.0, 0.0, 0.12243333333333334, 0.0, 0.0, 0.0, 0.0, 1.25945, 1.2662166666666665, 0.0, 0.0, 0.0, 0.0, 1.2683166666666665, 0.0, 0.0, 0.0, 0.0, -0.37168333333333337, 0.0, 0.0, 0.0, 0.0, -1.41585, 2.0509166666666663, 0.0, 0.0, 0.0, 0.0, -1.0837666666666665, 0.0, 0.0]"
4,"[0.002548272255808115, 0.09422744065523148, -0.0032999254763126373, -0.024194106459617615, 0.0682501494884491, 0.00530184805393219, -0.04168669879436493, 0.04619691148400307, 0.012463748455047607, -0.06220507249236107, 0.02035927027463913, 0.02317368984222412, -0.07827209681272507, -0.0007829358801245689, 0.03600175678730011, -0.023802706971764565, -0.0026875068433582783, 0.020016372203826904, -0.031458981335163116, -0.028789453208446503, 0.008487910032272339, -0.046165887266397476, -0.03164369612932205, -0.004781067371368408, -0.0667804628610611, -0.01760946586728096, -0.0266873762011528, -0.002711574314162135, -0.004559734370559454, 0.008995547890663147, -0.008273648098111153, -0.04025520384311676, -0.004735052585601807, -0.029780875891447067, -0.05145828053355217, -0.024899587035179138, -0.05431421101093292, -0.05569251999258995, -0.04169410467147827, 0.015622369945049286, 0.000142356613650918, -0.013012818992137909, 0.013942394405603409, -0.029618797823786736, -0.02144833654165268, -0.002330684568732977, -0.04528697207570076, -0.038704752922058105, -0.026155104860663414, -0.051517315208911896, -0.05414898693561554, 0.022458968684077263, 0.016554931178689003, -0.03031603991985321, 0.03306848928332329, -0.00418550381436944, -0.03735162317752838, 0.026147974655032158, -0.024212021380662918, -0.05025654286146164, 0.008556144312024117, -0.033780377358198166, -0.06419979780912399]","[0.0, 0.0, 0.12190000000000001, 0.0, 0.0, 0.0, 0.0, 1.2594833333333335, 1.2663333333333333, 0.0, 0.0, 0.0, 0.0, 1.2682666666666667, 0.0, 0.0, 0.0, 0.0, -0.3787833333333333, 0.0, 0.0, 0.0, 0.0, -1.4220500000000003, 2.0543666666666667, 0.0, 0.0, 0.0, 0.0, -1.08205, 0.0, 0.0]"
5,"[0.004968985915184021, 0.09328652918338776, -0.001884758472442627, -0.02292777970433235, 0.06766261905431747, 0.00647030770778656, -0.04050111025571823, 0.044844627380371094, 0.013256639242172241, -0.06099603697657585, 0.017632082104682922, 0.020916089415550232, -0.07697301357984543, -0.003561645280569792, 0.033780306577682495, -0.02389020286500454, -0.002054293407127261, 0.019488252699375153, -0.03437298908829689, -0.027129897847771645, 0.007818102836608887, -0.04973295331001282, -0.027356546372175217, -0.004334695637226105, -0.06849613040685654, -0.01132393628358841, -0.022013172507286072, -0.0028679831884801388, -0.004165363498032093, 0.008908405900001526, -0.009503506124019623, -0.041140198707580566, -0.005244337022304535, -0.031771257519721985, -0.05079137161374092, -0.0240258127450943, -0.05665937438607216, -0.05435105040669441, -0.03948009014129639, 0.015950074419379234, -1.345551572740078e-05, -0.013002097606658936, 0.01359242107719183, -0.029791615903377533, -0.02211904525756836, -0.0037943741772323847, -0.04546431079506874, -0.03885743021965027, -0.028449783101677895, -0.051161762326955795, -0.05275685340166092, 0.023364927619695663, 0.016154862940311432, -0.029932424426078796, 0.033252567052841187, -0.00501454621553421, -0.03759881108999252, 0.02626677416265011, -0.02495063841342926, -0.050154656171798706, 0.009274698793888092, -0.03595506399869919, -0.06298257410526276]","[0.0, 0.0, 0.12096, 0.0, 0.0, 0.0, 0.0, 1.25942, 1.26582, 0.0, 0.0, 0.0, 0.0, 1.26828, 0.0, 0.0, 0.0, 0.0, -0.38338, 0.0, 0.0, 0.0, 0.0, -1.42314, 2.05518, 0.0, 0.0, 0.0, 0.0, -1.08358, 0.0, 0.0]"
6,"[0.005965931341052055, 0.09293770790100098, -0.0018056519329547882, -0.02242276631295681, 0.06767089664936066, 0.00662994384765625, -0.04021735116839409, 0.04440002515912056, 0.013113409280776978, -0.06079639494419098, 0.017458543181419373, 0.01893801987171173, -0.07674890756607056, -0.0034262672998011112, 0.0307466983795166, -0.023952627554535866, -0.001512052956968546, 0.01947396993637085, -0.035714056342840195, -0.025430921465158463, 0.007908076047897339, -0.05152759701013565, -0.025547796860337257, -0.003951691091060638, -0.06967052072286606, -0.008613274432718754, -0.021319396793842316, -0.0027838521637022495, -0.0040777274407446384, 0.008721254765987396, -0.010747444815933704, -0.040601201355457306, -0.0046621933579444885, -0.03379562497138977, -0.05005699768662453, -0.02327568084001541, -0.059217266738414764, -0.052755311131477356, -0.03853359818458557, 0.01604233682155609, -0.00038985232822597027, -0.013174556195735931, 0.013401457108557224, -0.029779095202684402, -0.021998248994350433, -0.004632590804249048, -0.04426729306578636, -0.03908844292163849, -0.030288323760032654, -0.04917743057012558, -0.05394456535577774, 0.023353321477770805, 0.015951333567500114, -0.030178755521774292, 0.03333596885204315, -0.005299171432852745, -0.037806399166584015, 0.02629503421485424, -0.02483174577355385, -0.05100172013044357, 0.009189406409859657, -0.035118043422698975, -0.06411873549222946]","[0.0, 0.0, 0.12057499999999999, 0.0, 0.0, 0.0, 0.0, 1.2591999999999999, 1.265775, 0.0, 0.0, 0.0, 0.0, 1.268325, 0.0, 0.0, 0.0, 0.0, -0.36769999999999997, 0.0, 0.0, 0.0, 0.0, -1.4215250000000001, 2.054575, 0.0, 0.0, 0.0, 0.0, -1.0843, 0.0, 0.0]"
7,"[0.005936312489211559, 0.09234721958637238, -0.007053248584270477, -0.022266840562224388, 0.06746263056993484, 0.0026254802942276, -0.04074813053011894, 0.043705400079488754, 0.007118284702301025, -0.06011248379945755, 0.015871847048401833, 0.011677421629428864, -0.07673593610525131, -0.006928469054400921, 0.021757274866104126, -0.024110157042741776, -0.000579269602894783, 0.019171632826328278, -0.03802584111690521, -0.02180313691496849, 0.0064758360385894775, -0.05356006324291229, -0.020005568861961365, -0.004789471626281738, -0.07152236253023148, -0.0033121020533144474, -0.02245345711708069, -0.002669799607247114, -0.0035741529427468777, 0.008405052125453949, -0.012263616546988487, -0.04002778232097626, -0.004113994538784027, -0.0361969918012619, -0.04943336546421051, -0.0223085954785347, -0.061739709228277206, -0.052569177001714706, -0.039002448320388794, 0.01656867191195488, -0.001340688904747367, -0.013181701302528381, 0.01244695857167244, -0.030828658491373062, -0.021232955157756805, -0.0070892637595534325, -0.045611053705215454, -0.03949195146560669, -0.03206709027290344, -0.0510595440864563, -0.05344182997941971, 0.02393687143921852, 0.013673711568117142, -0.030572250485420227, 0.03365512192249298, -0.007707493379712105, -0.037465959787368774, 0.027176357805728912, -0.027288105338811874, -0.049528978765010834, 0.010008560493588448, -0.037774551659822464, -0.06230646371841431]","[0.0, 0.0, 0.12067777777777779, 0.0, 0.0, 0.0, 0.0, 1.2591222222222223, 1.2662111111111112, 0.0, 0.0, 0.0, 0.0, 1.2683444444444443, 0.0, 0.0, 0.0, 0.0, -0.3728111111111111, 0.0, 0.0, 0.0, 0.0, -1.4201888888888887, 2.0542, 0.0, 0.0, 0.0, 0.0, -1.0825777777777779, 0.0, 0.0]"
8,"[0.006100570783019066, 0.09163539111614227, -0.011432066559791565, -0.022539405152201653, 0.06727147847414017, -0.00030331313610076904, -0.04098871350288391, 0.04221919924020767, 0.005452394485473633, -0.05945329740643501, 0.01387442834675312, 0.01063453033566475, -0.07447139918804169, -0.009210821241140366, 0.019730955362319946, -0.025028735399246216, -0.00027094059623777866, 0.01951691508293152, -0.041512951254844666, -0.018834086135029793, 0.004805326461791992, -0.05660296231508255, -0.015910645946860313, -0.006305314600467682, -0.07196584343910217, 0.0022717565298080444, -0.023656167089939117, -0.00289016286842525, -0.00368099519982934, 0.008932553231716156, -0.011094955727458, -0.040142722427845, -0.0035783499479293823, -0.034345053136348724, -0.050654374063014984, -0.021437644958496094, -0.05975674092769623, -0.054222073405981064, -0.03726756572723389, 0.017164362594485283, -0.0015336720971390605, -0.013308539986610413, 0.014153433963656425, -0.03061055764555931, -0.020877540111541748, -0.004539860412478447, -0.04690183699131012, -0.0373537540435791, -0.02952975034713745, -0.053233351558446884, -0.049595631659030914, 0.024467144161462784, 0.013268359005451202, -0.030729100108146667, 0.034729860723018646, -0.007989507168531418, -0.03778710961341858, 0.028824543580412865, -0.02884625643491745, -0.04957441985607147, 0.013280955143272877, -0.040990862995386124, -0.06269889324903488]","[0.0, 0.0, 0.12045, 0.0, 0.0, 0.0, 0.0, 1.2591, 1.266175, 0.0, 0.0, 0.0, 0.0, 1.268175, 0.0, 0.0, 0.0, 0.0, -0.37145, 0.0, 0.0, 0.0, 0.0, -1.42005, 2.05405, 0.0, 0.0, 0.0, 0.0, -1.08595, 0.0, 0.0]"
9,"[0.008111107163131237, 0.08968152105808258, -0.015133440494537354, -0.020310908555984497, 0.0665438249707222, -0.004875145852565765, -0.03907940536737442, 0.04056664556264877, 0.002492249011993408, -0.05709747597575188, 0.01290949434041977, 0.0070524923503398895, -0.07021843641996384, -0.00899697095155716, 0.016070127487182617, -0.025065874680876732, 0.0015384671278297901, 0.019112735986709595, -0.04352498799562454, -0.014761658385396004, 0.004959270358085632, -0.05942067503929138, -0.013654710724949837, -0.00677315890789032, -0.07530241459608078, 0.0042264424264431, -0.02476692944765091, -0.0034636352211236954, -0.003398953005671501, 0.008940845727920532, -0.011872339993715286, -0.040263980627059937, -0.0006392672657966614, -0.03450196236371994, -0.05291330814361572, -0.018269628286361694, -0.0598442517220974, -0.05742308497428894, -0.034515589475631714, 0.01690923236310482, -0.002395162358880043, -0.01314418762922287, 0.014316417276859283, -0.03203989565372467, -0.019151069223880768, -0.002701433841139078, -0.048880282789468765, -0.034942030906677246, -0.02595721371471882, -0.054275523871183395, -0.046764589846134186, 0.024864433333277702, 0.010420029982924461, -0.03101038932800293, 0.03641393780708313, -0.010461512953042984, -0.03717883676290512, 0.03143787756562233, -0.03077642433345318, -0.04702688753604889, 0.017510470002889633, -0.04319723695516586, -0.05953330546617508]","[0.0, 0.0, 0.12034285714285715, 0.0, 0.0, 0.0, 0.0, 1.2592857142857141, 1.2661999999999998, 0.0, 0.0, 0.0, 0.0, 1.268257142857143, 0.0, 0.0, 0.0, 0.0, -0.37232857142857145, 0.0, 0.0, 0.0, 0.0, -1.4208714285714288, 2.053114285714286, 0.0, 0.0, 0.0, 0.0, -1.0859857142857143, 0.0, 0.0]"
