,mphands_data,eit_data
0,"[-0.021190276369452477, 0.09328366070985794, -0.01104232668876648, -0.04170917719602585, 0.06446469575166702, -0.009223554283380508, -0.05445181950926781, 0.038906775414943695, -0.0080416826531291, -0.061171188950538635, 0.0049102455377578735, -0.0030795366037636995, -0.06385538727045059, -0.022732850164175034, 0.004004005342721939, -0.026032624766230583, -0.004883416462689638, 0.0104897515848279, -0.023943958804011345, -0.03280859440565109, 0.003831065958365798, -0.028920557349920273, -0.04887603968381882, -0.009237724356353283, -0.04566722735762596, -0.06080086529254913, -0.03474701941013336, -0.0025528501719236374, -0.003992610145360231, 0.008028760552406311, 0.0037018628790974617, -0.04096949100494385, -0.00025886017829179764, -0.0035724658519029617, -0.06451261788606644, -0.017058223485946655, -0.013869239948689938, -0.08755450695753098, -0.037971630692481995, 0.0180495772510767, 0.0011075874790549278, -0.0072012958116829395, 0.026733221486210823, -0.02778545394539833, -0.014491735957562923, 0.02416236698627472, -0.05027477815747261, -0.02993229776620865, 0.017532460391521454, -0.07123416662216187, -0.05124123394489288, 0.02322624996304512, 0.017453813925385475, -0.021842656657099724, 0.04379507526755333, -0.0019784318283200264, -0.020944423973560333, 0.05531884729862213, -0.022219695150852203, -0.027919402346014977, 0.05824011564254761, -0.042274583131074905, -0.038191985338926315]","[0.0, 0.0, 0.235, 0.0, 0.0, 0.0, 0.0, 0.5923499999999999, 0.1392, 0.0, 0.0, 0.0, 0.0, 1.0882, 0.0, 0.0, 0.0, 0.0, -1.1881, 0.0, 0.0, 0.0, 0.0, -1.3947, 1.98645, 0.0, 0.0, 0.0, 0.0, 2.0408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.021639104932546616, 0.09333708137273788, -0.013170778751373291, -0.041782233864068985, 0.06453566253185272, -0.010571836493909359, -0.05498525872826576, 0.03860761225223541, -0.0077966866083443165, -0.06168682500720024, 0.004585151560604572, -2.9226317565189674e-05, -0.0635872483253479, -0.02324420027434826, 0.009153583087027073, -0.026276839897036552, -0.005216893274337053, 0.01082968432456255, -0.02366805076599121, -0.03299994021654129, 0.004243779927492142, -0.028921714052557945, -0.04898012429475784, -0.008670231327414513, -0.045814115554094315, -0.06108624488115311, -0.034209202975034714, -0.0024989843368530273, -0.0040004984475672245, 0.00804597232490778, 0.003848161082714796, -0.041144177317619324, -0.0002655662246979773, -0.0035054152831435204, -0.06472554802894592, -0.01734396629035473, -0.013576771132647991, -0.08750685304403305, -0.03783326596021652, 0.017960824072360992, 0.0012435128446668386, -0.007456278428435326, 0.02645607851445675, -0.02778088115155697, -0.014850386418402195, 0.024110376834869385, -0.05014630779623985, -0.030533820390701294, 0.01768326573073864, -0.07094873487949371, -0.051035355776548386, 0.023266900330781937, 0.017328720539808273, -0.02249351516366005, 0.04384559392929077, -0.0018108319491147995, -0.021397745236754417, 0.05519914999604225, -0.022006629034876823, -0.027808312326669693, 0.058246225118637085, -0.04193572700023651, -0.037910543382167816]","[0.0, 0.0, 0.23526666666666665, 0.0, 0.0, 0.0, 0.0, 0.5921333333333334, 0.13896666666666668, 0.0, 0.0, 0.0, 0.0, 1.0888, 0.0, 0.0, 0.0, 0.0, -1.1865, 0.0, 0.0, 0.0, 0.0, -1.3933666666666664, 1.982, 0.0, 0.0, 0.0, 0.0, 2.0409333333333337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.02104833908379078, 0.09328899532556534, -0.01246808934956789, -0.041516415774822235, 0.06422647088766098, -0.010520902462303638, -0.05447589233517647, 0.03839953988790512, -0.00856601633131504, -0.06129058450460434, 0.004236935637891293, -0.002358855912461877, -0.06312504410743713, -0.02388709969818592, 0.00508569460362196, -0.026410946622490883, -0.005201192107051611, 0.01063457503914833, -0.023476531729102135, -0.03281717747449875, 0.0038771298713982105, -0.028639409691095352, -0.0488523468375206, -0.00904256571084261, -0.04541713744401932, -0.061057426035404205, -0.034291040152311325, -0.002512718318030238, -0.004044342786073685, 0.00820540264248848, 0.0039751771837472916, -0.04123759642243385, -9.296872303821146e-05, -0.003364178352057934, -0.0650586262345314, -0.016939550638198853, -0.01336228009313345, -0.08816473931074142, -0.03737000748515129, 0.017868729308247566, 0.0012193312868475914, -0.007345143239945173, 0.026533158496022224, -0.02776588685810566, -0.014385056681931019, 0.024282900616526604, -0.05035463348031044, -0.030219728127121925, 0.01816616766154766, -0.07117441296577454, -0.05070646479725838, 0.02321200631558895, 0.017354656010866165, -0.02233935333788395, 0.043761175125837326, -0.0018547261133790016, -0.021219858899712563, 0.055311329662799835, -0.02220964804291725, -0.027461741119623184, 0.05807469040155411, -0.04239692538976669, -0.037319350987672806]","[0.0, 0.0, 0.2354166666666667, 0.0, 0.0, 0.0, 0.0, 0.5911333333333334, 0.13886666666666667, 0.0, 0.0, 0.0, 0.0, 1.0880333333333334, 0.0, 0.0, 0.0, 0.0, -1.1870666666666667, 0.0, 0.0, 0.0, 0.0, -1.39365, 1.9813666666666665, 0.0, 0.0, 0.0, 0.0, 2.0419833333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.021491803228855133, 0.09365164488554001, -0.012102507054805756, -0.04178532212972641, 0.0646318644285202, -0.009937820956110954, -0.05448927730321884, 0.03879983350634575, -0.007854821160435677, -0.06131477653980255, 0.004544390365481377, -0.0017331830458715558, -0.06364572048187256, -0.023044629022479057, 0.006120811216533184, -0.0262752715498209, -0.00514301098883152, 0.01083347387611866, -0.023763110861182213, -0.03270118683576584, 0.004234506748616695, -0.028823019936680794, -0.04895094409584999, -0.008553437888622284, -0.0450628362596035, -0.06121820956468582, -0.033710088580846786, -0.0026053651235997677, -0.003966755233705044, 0.00799607578665018, 0.003741692518815398, -0.04112813621759415, 6.359100370900705e-05, -0.0029297443106770515, -0.06459847837686539, -0.016814690083265305, -0.013208379037678242, -0.08752206712961197, -0.03749551251530647, 0.017714401707053185, 0.0012028415221720934, -0.007385455537587404, 0.026667751371860504, -0.027743780985474586, -0.014859854243695736, 0.024215655401349068, -0.05021923780441284, -0.030470630154013634, 0.01785283163189888, -0.07087204605340958, -0.05143135413527489, 0.02326396107673645, 0.017426002770662308, -0.02222582697868347, 0.04389866441488266, -0.0018874099478125572, -0.0211521927267313, 0.055595237761735916, -0.022187428548932076, -0.027810120955109596, 0.058884233236312866, -0.042030446231365204, -0.03788548707962036]","[0.0, 0.0, 0.23570000000000002, 0.0, 0.0, 0.0, 0.0, 0.5908, 0.13886666666666667, 0.0, 0.0, 0.0, 0.0, 1.0884333333333334, 0.0, 0.0, 0.0, 0.0, -1.1881333333333333, 0.0, 0.0, 0.0, 0.0, -1.3933666666666664, 1.9805333333333335, 0.0, 0.0, 0.0, 0.0, 2.041166666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.021407475695014, 0.09362809360027313, -0.011897755786776543, -0.0416494682431221, 0.06481003016233444, -0.009455159306526184, -0.05476021021604538, 0.03873317688703537, -0.007257635239511728, -0.061342719942331314, 0.0048508550971746445, -0.0007491630967706442, -0.0632864385843277, -0.023322854191064835, 0.007246910594403744, -0.026096094399690628, -0.00501423142850399, 0.010942047461867332, -0.023167703300714493, -0.03270459547638893, 0.004326678812503815, -0.02845834195613861, -0.048902466893196106, -0.008402632549405098, -0.04515957087278366, -0.06104842200875282, -0.033789776265621185, -0.0025239516980946064, -0.004134741611778736, 0.00821309257298708, 0.00400909036397934, -0.04099343717098236, -0.0004538239154499024, -0.003284325823187828, -0.06452582031488419, -0.01759808138012886, -0.01316828653216362, -0.08760365843772888, -0.03831540048122406, 0.01770147494971752, 0.0011082080891355872, -0.0075845723040401936, 0.026512250304222107, -0.02757623791694641, -0.01472177729010582, 0.024273887276649475, -0.05001741275191307, -0.030748331919312477, 0.017971370369195938, -0.07083378732204437, -0.051572028547525406, 0.023032493889331818, 0.017392819747328758, -0.022422276437282562, 0.04370329901576042, -0.0015100045129656792, -0.02158179134130478, 0.05546173080801964, -0.02195913717150688, -0.028139187023043633, 0.0586693212389946, -0.04204126447439194, -0.038027457892894745]","[0.0, 0.0, 0.235925, 0.0, 0.0, 0.0, 0.0, 0.591225, 0.13905, 0.0, 0.0, 0.0, 0.0, 1.08845, 0.0, 0.0, 0.0, 0.0, -1.187725, 0.0, 0.0, 0.0, 0.0, -1.3946500000000002, 1.9853249999999998, 0.0, 0.0, 0.0, 0.0, 2.041525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.022303864359855652, 0.09324205666780472, -0.013815482147037983, -0.04225372523069382, 0.06413783878087997, -0.011025035753846169, -0.05480141192674637, 0.03822821378707886, -0.008565820753574371, -0.061231937259435654, 0.004115053452551365, -0.001683847396634519, -0.06328583508729935, -0.023848533630371094, 0.0066680461168289185, -0.02624695748090744, -0.005122747737914324, 0.01087591890245676, -0.02351873368024826, -0.0330379381775856, 0.004389106761664152, -0.02850319817662239, -0.049355268478393555, -0.0082353251054883, -0.04479559138417244, -0.06150808185338974, -0.033352501690387726, -0.002473564352840185, -0.004059080500155687, 0.00814457144588232, 0.003825575578957796, -0.04119592532515526, 7.955473847687244e-05, -0.002986723557114601, -0.06495853513479233, -0.016657978296279907, -0.012961738742887974, -0.08766515552997589, -0.03732435777783394, 0.017723700031638145, 0.0012405189918354154, -0.007410638500005007, 0.026589009910821915, -0.027928993105888367, -0.014413409866392612, 0.024159982800483704, -0.0505460761487484, -0.030105113983154297, 0.01767609640955925, -0.07128977030515671, -0.05092471092939377, 0.02310810051858425, 0.017433330416679382, -0.02252299152314663, 0.044048748910427094, -0.0017662495374679565, -0.021325742825865746, 0.055742353200912476, -0.022061165422201157, -0.027569597586989403, 0.05872949957847595, -0.042313553392887115, -0.03718699887394905]","[0.0, 0.0, 0.23567500000000002, 0.0, 0.0, 0.0, 0.0, 0.591125, 0.139075, 0.0, 0.0, 0.0, 0.0, 1.08825, 0.0, 0.0, 0.0, 0.0, -1.189475, 0.0, 0.0, 0.0, 0.0, -1.3953, 1.9906, 0.0, 0.0, 0.0, 0.0, 2.04165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.022282034158706665, 0.0934504047036171, -0.013714058324694633, -0.042143162339925766, 0.06443825364112854, -0.010698031634092331, -0.05494920536875725, 0.0383203886449337, -0.007962862029671669, -0.0613350011408329, 0.004141191951930523, -0.00019601357053034008, -0.06306716054677963, -0.023786094039678574, 0.009053420275449753, -0.026023972779512405, -0.005143703892827034, 0.011080507189035416, -0.023166701197624207, -0.03296946361660957, 0.004537439905107021, -0.028290163725614548, -0.0491785854101181, -0.008304824121296406, -0.04502931982278824, -0.06167646497488022, -0.03360927850008011, -0.0024164561182260513, -0.003962098620831966, 0.00821069534868002, 0.004036258906126022, -0.04092145711183548, -9.409402991877869e-05, -0.0031304694712162018, -0.06474027782678604, -0.017043190076947212, -0.013332349248230457, -0.08740890771150589, -0.03799114748835564, 0.017705878242850304, 0.001153717515990138, -0.0077050901018083096, 0.026365522295236588, -0.027670834213495255, -0.014935354702174664, 0.02413124218583107, -0.0500732958316803, -0.0310260858386755, 0.01776064559817314, -0.07074202597141266, -0.05178878456354141, 0.022747663781046867, 0.017214331775903702, -0.023005399852991104, 0.04354124143719673, -0.0018950984813272953, -0.022097231820225716, 0.0549137145280838, -0.022275980561971664, -0.028606753796339035, 0.05815993249416351, -0.042222920805215836, -0.038628336042165756]","[0.0, 0.0, 0.23573333333333335, 0.0, 0.0, 0.0, 0.0, 0.5914666666666667, 0.13873333333333335, 0.0, 0.0, 0.0, 0.0, 1.0900999999999998, 0.0, 0.0, 0.0, 0.0, -1.1844333333333334, 0.0, 0.0, 0.0, 0.0, -1.3944999999999999, 1.9866, 0.0, 0.0, 0.0, 0.0, 2.0422000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.021948855370283127, 0.09353909641504288, -0.013958537951111794, -0.042337119579315186, 0.06434954702854156, -0.011084008030593395, -0.05484868213534355, 0.0380999892950058, -0.00894099846482277, -0.061191853135824203, 0.0036077694967389107, -0.0019931234419345856, -0.06321531534194946, -0.024359118193387985, 0.006350110284984112, -0.02626163884997368, -0.005228477530181408, 0.010793838649988174, -0.023297350853681564, -0.03307154029607773, 0.004041171632707119, -0.028269918635487556, -0.04916144534945488, -0.008620766922831535, -0.04446166753768921, -0.06161864846944809, -0.03399726375937462, -0.0024882773868739605, -0.003889702260494232, 0.008131594397127628, 0.0039042255375534296, -0.0407780222594738, -0.00034089514520019293, -0.0024607256054878235, -0.06444354355335236, -0.016954801976680756, -0.01281591784209013, -0.08719754964113235, -0.03815138712525368, 0.017744051292538643, 0.001262462348677218, -0.007366045378148556, 0.026961421594023705, -0.027885228395462036, -0.014678382314741611, 0.024569982662796974, -0.05027655512094498, -0.03017800860106945, 0.01805689185857773, -0.07065881043672562, -0.05123545229434967, 0.02307829260826111, 0.017444703727960587, -0.0224772822111845, 0.043990448117256165, -0.002006283961236477, -0.0213701743632555, 0.05561188608407974, -0.022227056324481964, -0.02818751335144043, 0.0589599683880806, -0.042043980211019516, -0.037917450070381165]","[0.0, 0.0, 0.2353, 0.0, 0.0, 0.0, 0.0, 0.5919749999999999, 0.13895000000000002, 0.0, 0.0, 0.0, 0.0, 1.087275, 0.0, 0.0, 0.0, 0.0, -1.183725, 0.0, 0.0, 0.0, 0.0, -1.3969, 1.9841, 0.0, 0.0, 0.0, 0.0, 2.0425750000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.02247992716729641, 0.09353014826774597, -0.015044386498630047, -0.04257913678884506, 0.06424690037965775, -0.011865146458148956, -0.05517551302909851, 0.038160987198352814, -0.009000577963888645, -0.06150759384036064, 0.0032953694462776184, -0.0015703114913776517, -0.06391683220863342, -0.024483200162649155, 0.00673140212893486, -0.026553967967629433, -0.00552681740373373, 0.010883553884923458, -0.023760929703712463, -0.03325258940458298, 0.004004872869700193, -0.02882848121225834, -0.04948689043521881, -0.008189679123461246, -0.04541715979576111, -0.0619964525103569, -0.033743515610694885, -0.0024616699665784836, -0.003765563480556011, 0.007966219447553158, 0.0037424250040203333, -0.04093579947948456, -0.00019948593399021775, -0.00273072998970747, -0.06469761580228806, -0.016928482800722122, -0.013098091818392277, -0.0875244140625, -0.03757135197520256, 0.01769649051129818, 0.0012160035548731685, -0.007464517839252949, 0.027064166963100433, -0.02802629955112934, -0.01494215615093708, 0.02445746399462223, -0.050365693867206573, -0.030128072947263718, 0.01776070147752762, -0.07082414627075195, -0.05064773932099342, 0.02317379228770733, 0.017529578879475594, -0.022801591083407402, 0.04419825226068497, -0.0019091195426881313, -0.0214657224714756, 0.05576355755329132, -0.022247884422540665, -0.028051311150193214, 0.059071753174066544, -0.041624896228313446, -0.03704554960131645]","[0.0, 0.0, 0.23603333333333332, 0.0, 0.0, 0.0, 0.0, 0.5912666666666667, 0.1384, 0.0, 0.0, 0.0, 0.0, 1.0879666666666665, 0.0, 0.0, 0.0, 0.0, -1.1844999999999999, 0.0, 0.0, 0.0, 0.0, -1.3943333333333332, 1.9834666666666667, 0.0, 0.0, 0.0, 0.0, 2.0412666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.022711243480443954, 0.09381438046693802, -0.013293229043483734, -0.04291016608476639, 0.06456161290407181, -0.01096996571868658, -0.055299170315265656, 0.038457270711660385, -0.008328336291015148, -0.061629727482795715, 0.003669377416372299, -0.0009965933859348297, -0.06423129141330719, -0.023925019428133965, 0.007439049892127514, -0.02664063684642315, -0.005542974453419447, 0.01076105609536171, -0.0237092524766922, -0.0333787277340889, 0.0040394761599600315, -0.028709055855870247, -0.049792319536209106, -0.008401689119637012, -0.04527109116315842, -0.06253556162118912, -0.033978067338466644, -0.002470659324899316, -0.0039626662619411945, 0.007852732203900814, 0.0037470997776836157, -0.04110521823167801, -0.0002281173801748082, -0.0028001563623547554, -0.06480444967746735, -0.017088862136006355, -0.012960074469447136, -0.08773992210626602, -0.03754376992583275, 0.01782958209514618, 0.0013194854836910963, -0.007328802719712257, 0.02676699310541153, -0.02796531468629837, -0.015088175423443317, 0.02428838610649109, -0.05015428736805916, -0.030459502711892128, 0.018041541799902916, -0.07073672115802765, -0.05088217183947563, 0.023215701803565025, 0.01769951730966568, -0.02221529372036457, 0.044294871389865875, -0.0016093207523226738, -0.02112480439245701, 0.05596478283405304, -0.021813947707414627, -0.02801317535340786, 0.059750042855739594, -0.041155122220516205, -0.0370914451777935]","[0.0, 0.0, 0.23583333333333334, 0.0, 0.0, 0.0, 0.0, 0.5911, 0.13793333333333332, 0.0, 0.0, 0.0, 0.0, 1.0878666666666668, 0.0, 0.0, 0.0, 0.0, -1.1845333333333334, 0.0, 0.0, 0.0, 0.0, -1.3947, 1.9812333333333332, 0.0, 0.0, 0.0, 0.0, 2.0416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
