,mphands_data,eit_data
0,"[-0.011036114767193794, 0.09473247081041336, 0.0021995266433805227, -0.03516782075166702, 0.06732883304357529, -0.0033850062172859907, -0.0506121888756752, 0.04278095066547394, -0.008780116215348244, -0.059303756803274155, 0.010029303841292858, -0.014226886443793774, -0.06390275806188583, -0.017223790287971497, -0.01705429144203663, -0.028348946943879128, -0.004155101254582405, 0.006650298833847046, -0.02539488673210144, -0.03329966962337494, -0.00011733009159797803, -0.02748708240687847, -0.05053480342030525, -0.011398756876587868, -0.03987793251872063, -0.06554029881954193, -0.03461744636297226, -0.003256344236433506, -0.003964380361139774, 0.00695456238463521, -0.0005176339764147997, -0.04230949655175209, -0.0026680207811295986, -0.008452460169792175, -0.06476926058530807, -0.01904526725411415, -0.01809661090373993, -0.08752475678920746, -0.03954029828310013, 0.018452327698469162, 0.00035197247052565217, -0.00479103671386838, 0.024204641580581665, -0.02900257147848606, -0.01339601818472147, 0.02033984288573265, -0.05229838937520981, -0.02902558259665966, 0.015543931163847446, -0.07234449684619904, -0.047975052148103714, 0.0275594312697649, 0.0180134866386652, -0.016058219596743584, 0.04549524188041687, -0.004061288200318813, -0.016194209456443787, 0.05534465238451958, -0.024757783859968185, -0.023879224434494972, 0.058780886232852936, -0.04261589050292969, -0.03402000293135643]","[0.0, 0.0, 0.46003333333333335, 0.0, 0.0, 0.0, 0.0, 0.5333000000000001, 0.1347, 0.0, 0.0, 0.0, 0.0, 1.1491, 0.0, 0.0, 0.0, 0.0, -1.2140666666666666, 0.0, 0.0, 0.0, 0.0, -1.4497666666666669, 1.9374333333333336, 0.0, 0.0, 0.0, 0.0, 2.0104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.011179454624652863, 0.09451383352279663, 0.002861092798411846, -0.03532048314809799, 0.06758656352758408, -0.002845234237611294, -0.05046384781599045, 0.04312824830412865, -0.008292166516184807, -0.05896426737308502, 0.010292299091815948, -0.013903992250561714, -0.06326616555452347, -0.016755662858486176, -0.017057843506336212, -0.028400249779224396, -0.004221382085233927, 0.006696096155792475, -0.025039158761501312, -0.03335724398493767, -6.0531761846505105e-05, -0.02705424278974533, -0.050420455634593964, -0.011412829160690308, -0.03985429182648659, -0.06536395847797394, -0.03432200849056244, -0.003301100106909871, -0.003998497035354376, 0.006962236016988754, -0.00044936523772776127, -0.04233067110180855, -0.002721176017075777, -0.00840783305466175, -0.06454404443502426, -0.01878529042005539, -0.018736766651272774, -0.08696508407592773, -0.03945097327232361, 0.018263382837176323, 0.0004158426891081035, -0.004932130221277475, 0.023992182686924934, -0.028817245736718178, -0.013586352579295635, 0.02010088786482811, -0.05218115448951721, -0.02952895499765873, 0.015235932543873787, -0.07171958684921265, -0.04821287468075752, 0.02746812254190445, 0.018063785508275032, -0.015982162207365036, 0.045775048434734344, -0.004052608273923397, -0.016240691766142845, 0.055444374680519104, -0.024899402633309364, -0.023552078753709793, 0.05899416655302048, -0.04284057021141052, -0.03322412073612213]","[0.0, 0.0, 0.45945, 0.0, 0.0, 0.0, 0.0, 0.532775, 0.13482499999999997, 0.0, 0.0, 0.0, 0.0, 1.148275, 0.0, 0.0, 0.0, 0.0, -1.212625, 0.0, 0.0, 0.0, 0.0, -1.4489999999999998, 1.93485, 0.0, 0.0, 0.0, 0.0, 2.0096749999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.011179487220942974, 0.09436555206775665, 0.0013771726517006755, -0.03512817621231079, 0.06750942021608353, -0.0038189729675650597, -0.05083952844142914, 0.04310517758131027, -0.008192748762667179, -0.05978506803512573, 0.010411899536848068, -0.011961918324232101, -0.06366617977619171, -0.01704311929643154, -0.013844293542206287, -0.028512263670563698, -0.004072097130119801, 0.00695808557793498, -0.025375502184033394, -0.03333624452352524, 0.0005054966895841062, -0.02768363058567047, -0.050541024655103683, -0.011089345440268517, -0.0404316745698452, -0.06540491431951523, -0.034070488065481186, -0.003314397530630231, -0.003976319916546345, 0.007085869088768959, -0.0007478382904082537, -0.042569052428007126, -0.0026412366423755884, -0.008899010717868805, -0.06468946486711502, -0.018893735483288765, -0.019042685627937317, -0.08713679760694504, -0.03971937298774719, 0.018263917416334152, 0.000390183471608907, -0.0050603244453668594, 0.02371273562312126, -0.02905837632715702, -0.013575210236012936, 0.019978711381554604, -0.05241847783327103, -0.029415961354970932, 0.015103084966540337, -0.07219478487968445, -0.048418983817100525, 0.027644172310829163, 0.01790141500532627, -0.01651730015873909, 0.04578080028295517, -0.004336523823440075, -0.01651129685342312, 0.05544280260801315, -0.025082800537347794, -0.02357112243771553, 0.059068676084280014, -0.04312537610530853, -0.03311863914132118]","[0.0, 0.0, 0.45855, 0.0, 0.0, 0.0, 0.0, 0.5321, 0.13465, 0.0, 0.0, 0.0, 0.0, 1.14855, 0.0, 0.0, 0.0, 0.0, -1.21375, 0.0, 0.0, 0.0, 0.0, -1.4483000000000001, 1.93525, 0.0, 0.0, 0.0, 0.0, 2.01085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.01088646985590458, 0.09415654093027115, 0.002190945204347372, -0.03498904034495354, 0.06702674180269241, -0.0030606836080551147, -0.05063772201538086, 0.04258773475885391, -0.008262861520051956, -0.0593254454433918, 0.009664028882980347, -0.013097822666168213, -0.0636233240365982, -0.01734282076358795, -0.015818526968359947, -0.028308644890785217, -0.004248856101185083, 0.006837103515863419, -0.02520788460969925, -0.0332646481692791, 0.00017570173076819628, -0.02727421745657921, -0.05040585994720459, -0.011299403384327888, -0.03999044746160507, -0.06529880315065384, -0.0342467799782753, -0.00323283183388412, -0.003929061349481344, 0.006963614374399185, -0.0004346452187746763, -0.0422506146132946, -0.002729660365730524, -0.008445266634225845, -0.06461717933416367, -0.018676964566111565, -0.018591411411762238, -0.08712760359048843, -0.03938433900475502, 0.01827714964747429, 0.0003618646296672523, -0.004999132826924324, 0.023975037038326263, -0.02892324887216091, -0.013347183354198933, 0.02014949358999729, -0.052370402961969376, -0.029218312352895737, 0.01539606787264347, -0.0721195638179779, -0.048145756125450134, 0.0273616723716259, 0.01801704615354538, -0.016244126483798027, 0.04561103880405426, -0.004125943407416344, -0.01640366017818451, 0.05524085462093353, -0.02487092837691307, -0.02373705990612507, 0.05888580530881882, -0.04281506687402725, -0.03341013565659523]","[0.0, 0.0, 0.45847499999999997, 0.0, 0.0, 0.0, 0.0, 0.532125, 0.13492500000000002, 0.0, 0.0, 0.0, 0.0, 1.14795, 0.0, 0.0, 0.0, 0.0, -1.212825, 0.0, 0.0, 0.0, 0.0, -1.4497, 1.9417750000000003, 0.0, 0.0, 0.0, 0.0, 2.0111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.010760130360722542, 0.09440179914236069, 0.00018061343871522695, -0.03487786650657654, 0.0671515241265297, -0.004799053072929382, -0.05049372464418411, 0.04253922402858734, -0.009539414197206497, -0.05942835658788681, 0.009225140325725079, -0.013885458000004292, -0.06374414265155792, -0.0179259292781353, -0.015623802319169044, -0.028539707884192467, -0.004179080482572317, 0.006873031612485647, -0.025399241596460342, -0.033649321645498276, 0.00021179055329412222, -0.027517367154359818, -0.05099392682313919, -0.011337971314787865, -0.039886608719825745, -0.06584306806325912, -0.03443107008934021, -0.0033046607859432697, -0.0038039281498640776, 0.007142871152609587, -0.0005922685377299786, -0.04240100458264351, -0.00271516852080822, -0.008699089288711548, -0.06473776698112488, -0.01897522620856762, -0.018851496279239655, -0.08688398450613022, -0.03978258743882179, 0.01846935786306858, 0.00046091637341305614, -0.0048537529073655605, 0.024053502827882767, -0.02921469882130623, -0.013307484798133373, 0.020521940663456917, -0.05250093713402748, -0.029136715456843376, 0.015327949076890945, -0.0721437856554985, -0.04820995777845383, 0.027559926733374596, 0.01776573620736599, -0.016337431967258453, 0.04561470076441765, -0.004582209512591362, -0.016230447217822075, 0.05566082522273064, -0.025213828310370445, -0.023595163598656654, 0.05910780653357506, -0.043283164501190186, -0.03336699679493904]","[0.0, 0.0, 0.4582, 0.0, 0.0, 0.0, 0.0, 0.53295, 0.13492500000000002, 0.0, 0.0, 0.0, 0.0, 1.1479499999999998, 0.0, 0.0, 0.0, 0.0, -1.2147, 0.0, 0.0, 0.0, 0.0, -1.44845, 1.9385500000000002, 0.0, 0.0, 0.0, 0.0, 2.0101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.010029276832938194, 0.09409097582101822, 0.004114900249987841, -0.0341566726565361, 0.0670941174030304, -0.00187075010035187, -0.04995467886328697, 0.0429118350148201, -0.008013132959604263, -0.05906904116272926, 0.010161897167563438, -0.015006199479103088, -0.06319697201251984, -0.01687229424715042, -0.018604788929224014, -0.028099915012717247, -0.004221334122121334, 0.006790635641664267, -0.025143831968307495, -0.03323102742433548, -0.00022491725394502282, -0.027271201834082603, -0.05038639158010483, -0.01186037715524435, -0.03973317891359329, -0.06529701501131058, -0.03506667912006378, -0.003225706983357668, -0.003908979240804911, 0.0069506810978055, -0.0005073787178844213, -0.04186118766665459, -0.00302611431106925, -0.008485816419124603, -0.0640374943614006, -0.019573474302887917, -0.01849878579378128, -0.08641058206558228, -0.04049605131149292, 0.018210487440228462, 0.00041397270979359746, -0.0048931133933365345, 0.023990802466869354, -0.028848841786384583, -0.013748726807534695, 0.02034812606871128, -0.05174807086586952, -0.029875710606575012, 0.014948474243283272, -0.07140220701694489, -0.04937595874071121, 0.027083106338977814, 0.018122924491763115, -0.015809405595064163, 0.04497383534908295, -0.0039081270806491375, -0.016223149374127388, 0.05481269210577011, -0.024505995213985443, -0.024199627339839935, 0.058045465499162674, -0.04264923557639122, -0.03418060764670372]","[0.0, 0.0, 0.4581, 0.0, 0.0, 0.0, 0.0, 0.5326333333333334, 0.13503333333333334, 0.0, 0.0, 0.0, 0.0, 1.1480666666666666, 0.0, 0.0, 0.0, 0.0, -1.2154, 0.0, 0.0, 0.0, 0.0, -1.4485, 1.9376666666666669, 0.0, 0.0, 0.0, 0.0, 2.0109999999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.010795674286782742, 0.09428858757019043, 0.004795553628355265, -0.03472113981842995, 0.06722724437713623, -0.0014162050792947412, -0.050313644111156464, 0.042934443801641464, -0.007722118869423866, -0.0590403713285923, 0.01030959002673626, -0.014928214251995087, -0.06353668123483658, -0.01704932004213333, -0.018381483852863312, -0.028067873790860176, -0.004489888437092304, 0.006655952427536249, -0.025003261864185333, -0.03337346389889717, -0.0002342316583963111, -0.027005629613995552, -0.050619784742593765, -0.011669334955513477, -0.03922479227185249, -0.06548258662223816, -0.034673843532800674, -0.003185682464390993, -0.0040049185045063496, 0.006757096853107214, -0.00029761926271021366, -0.04186639189720154, -0.0030843394342809916, -0.00792624056339264, -0.06410370767116547, -0.01949560083448887, -0.01783548854291439, -0.08601624518632889, -0.04056656360626221, 0.018234552815556526, 0.0005667841760441661, -0.0047608125023543835, 0.024285031482577324, -0.028901856392621994, -0.013357345946133137, 0.02055937983095646, -0.051842913031578064, -0.02915402501821518, 0.015223431400954723, -0.07167008519172668, -0.04865332692861557, 0.027198979631066322, 0.018416205421090126, -0.01554670836776495, 0.04514893516898155, -0.0036865556612610817, -0.015904368832707405, 0.05521029233932495, -0.024133998900651932, -0.023601042106747627, 0.058249104768037796, -0.04217793047428131, -0.033742960542440414]","[0.0, 0.0, 0.45470000000000005, 0.0, 0.0, 0.0, 0.0, 0.5350666666666667, 0.13496666666666668, 0.0, 0.0, 0.0, 0.0, 1.1486, 0.0, 0.0, 0.0, 0.0, -1.2131333333333332, 0.0, 0.0, 0.0, 0.0, -1.4480666666666666, 1.9375666666666664, 0.0, 0.0, 0.0, 0.0, 2.0108333333333337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.011141314171254635, 0.09415769577026367, 0.0013979136710986495, -0.0353274792432785, 0.0672345906496048, -0.003947101533412933, -0.05114380270242691, 0.04277721047401428, -0.008876402862370014, -0.0599307119846344, 0.009794270619750023, -0.013182541355490685, -0.06383097171783447, -0.01779456064105034, -0.01505579799413681, -0.02848777547478676, -0.00411719037219882, 0.006706831976771355, -0.025191638618707657, -0.033379148691892624, 0.00019985732797067612, -0.027251260355114937, -0.05094355717301369, -0.011229205876588821, -0.039453305304050446, -0.06609628349542618, -0.034321773797273636, -0.003320123767480254, -0.0038500584196299314, 0.007042860146611929, -0.0005123154260218143, -0.04246118292212486, -0.0026432243175804615, -0.008265968412160873, -0.06483272463083267, -0.018742529675364494, -0.01812662184238434, -0.08757588267326355, -0.039309967309236526, 0.018532531335949898, 0.00022652605548501015, -0.00488174706697464, 0.024267496541142464, -0.029262632131576538, -0.013379746116697788, 0.02061411552131176, -0.05256888270378113, -0.029437117278575897, 0.01541190780699253, -0.0721583291888237, -0.04864928126335144, 0.027463126927614212, 0.017832312732934952, -0.015897661447525024, 0.045534003525972366, -0.0041084312833845615, -0.016026193276047707, 0.055519215762615204, -0.02500230073928833, -0.023944567888975143, 0.0589740164577961, -0.04277994483709335, -0.03363168612122536]","[0.0, 0.0, 0.4522, 0.0, 0.0, 0.0, 0.0, 0.5355, 0.13520000000000001, 0.0, 0.0, 0.0, 0.0, 1.1477666666666666, 0.0, 0.0, 0.0, 0.0, -1.2138666666666664, 0.0, 0.0, 0.0, 0.0, -1.4470333333333334, 1.9370666666666665, 0.0, 0.0, 0.0, 0.0, 2.0117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.010973603464663029, 0.09383285790681839, 0.0030999917071312666, -0.034969180822372437, 0.0671020895242691, -0.0029969490133225918, -0.05078250914812088, 0.04262422397732735, -0.007863018661737442, -0.05993277579545975, 0.01024717465043068, -0.013381375931203365, -0.0639607384800911, -0.01693708449602127, -0.01580675318837166, -0.028468793258070946, -0.003954780288040638, 0.0065275393426418304, -0.025370925664901733, -0.03288039565086365, -9.416380066795682e-07, -0.027429189532995224, -0.05069023370742798, -0.011835290119051933, -0.03936590254306793, -0.06549816578626633, -0.035174306482076645, -0.0034309520851820707, -0.003910936415195465, 0.0069440677762031555, -0.0004732778761535883, -0.042042896151542664, -0.00262603466399014, -0.008028119802474976, -0.06455395370721817, -0.01915213093161583, -0.017822599038481712, -0.08728645741939545, -0.04013514518737793, 0.01847226172685623, 0.00032638502307236195, -0.004741193726658821, 0.024356145411729813, -0.029161540791392326, -0.01321316510438919, 0.021190466359257698, -0.052312154322862625, -0.028984155505895615, 0.015699338167905807, -0.07204142212867737, -0.0488099604845047, 0.027424030005931854, 0.018052885308861732, -0.015528840012848377, 0.04566914960741997, -0.004047032445669174, -0.01583908498287201, 0.055923499166965485, -0.024463579058647156, -0.023750009015202522, 0.05952278897166252, -0.0429488942027092, -0.033448103815317154]","[0.0, 0.0, 0.451425, 0.0, 0.0, 0.0, 0.0, 0.5357249999999999, 0.135, 0.0, 0.0, 0.0, 0.0, 1.147575, 0.0, 0.0, 0.0, 0.0, -1.214975, 0.0, 0.0, 0.0, 0.0, -1.446775, 1.93925, 0.0, 0.0, 0.0, 0.0, 2.010625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.011604377999901772, 0.09358644485473633, -0.0005598279531113803, -0.035610370337963104, 0.06657962501049042, -0.005416975822299719, -0.05151514708995819, 0.042225029319524765, -0.00929333921521902, -0.0610152892768383, 0.009650994092226028, -0.012636673636734486, -0.06501417607069016, -0.017528943717479706, -0.013932053931057453, -0.028475841507315636, -0.004006934352219105, 0.006825413089245558, -0.025226080790162086, -0.0330314077436924, 0.00044149989844299853, -0.027245450764894485, -0.05063599720597267, -0.01134575717151165, -0.039452917873859406, -0.06555065512657166, -0.034946002066135406, -0.003312810556963086, -0.0038358320016413927, 0.007089829072356224, -0.0004763994365930557, -0.042189691215753555, -0.002250382211059332, -0.008441036567091942, -0.06490068882703781, -0.018318604677915573, -0.0184235330671072, -0.08805370330810547, -0.039408132433891296, 0.0184372179210186, 0.00026608468033373356, -0.0049773771315813065, 0.024051815271377563, -0.02927524968981743, -0.013032122515141964, 0.020399272441864014, -0.0527377687394619, -0.028790386393666267, 0.015252443961799145, -0.0726650208234787, -0.0486580915749073, 0.02731107734143734, 0.017698345705866814, -0.01630585268139839, 0.04553224518895149, -0.004548215307295322, -0.016101280227303505, 0.055681101977825165, -0.0250664334744215, -0.02366970293223858, 0.059502921998500824, -0.04321946203708649, -0.0333281084895134]","[0.0, 0.0, 0.4517333333333333, 0.0, 0.0, 0.0, 0.0, 0.5362, 0.135, 0.0, 0.0, 0.0, 0.0, 1.1478666666666666, 0.0, 0.0, 0.0, 0.0, -1.2131, 0.0, 0.0, 0.0, 0.0, -1.4479666666666666, 1.9390333333333334, 0.0, 0.0, 0.0, 0.0, 2.0112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
