,mphands_data,eit_data
0,"[-0.012064002454280853, 0.09319224208593369, -0.009237956255674362, -0.035056959837675095, 0.06616880744695663, -0.011696301400661469, -0.049131691455841064, 0.04007435590028763, -0.015324455685913563, -0.060461610555648804, 0.005775200668722391, -0.01781156100332737, -0.06669846922159195, -0.023140933364629745, -0.014242307282984257, -0.02808408811688423, -0.0026452355086803436, 0.007495423313230276, -0.03305956348776817, -0.029322106391191483, -0.0029889296274632215, -0.0440918430685997, -0.04050227999687195, -0.01627718098461628, -0.06345106661319733, -0.0452793650329113, -0.044131744652986526, -0.0035869006533175707, -0.0037566539831459522, 0.0069014281034469604, 0.0018573612906038761, -0.04328672215342522, 0.00027689497801475227, -0.005561701487749815, -0.06817607581615448, -0.015612931922078133, -0.015259853564202785, -0.09175122529268265, -0.03563486412167549, 0.019695056602358818, -0.00045433512423187494, -0.004858310334384441, 0.028238069266080856, -0.029094353318214417, -0.012957883067429066, 0.025174560025334358, -0.05135824903845787, -0.029214410111308098, 0.018650807440280914, -0.07232651114463806, -0.04874987155199051, 0.02927095629274845, 0.015171173959970474, -0.017947856336832047, 0.04772358015179634, -0.0040715765208005905, -0.0176065806299448, 0.06083572283387184, -0.024520020931959152, -0.023142823949456215, 0.06435974687337875, -0.042151667177677155, -0.03315623104572296]","[0.0, 0.0, 0.506025, 0.0, 0.0, 0.0, 0.0, 0.37592499999999995, 0.43617500000000003, 0.0, 0.0, 0.0, 0.0, 0.69135, 0.0, 0.0, 0.0, 0.0, 1.7424750000000002, 0.0, 0.0, 0.0, 0.0, -1.4420000000000002, 1.88475, 0.0, 0.0, 0.0, 0.0, -1.4861, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.01196746714413166, 0.09321599453687668, -0.008286666125059128, -0.03506363183259964, 0.0660983994603157, -0.011326096951961517, -0.04910719022154808, 0.039834920316934586, -0.015408230014145374, -0.05994739010930061, 0.005619352217763662, -0.018504802137613297, -0.06668491661548615, -0.022895770147442818, -0.015572424978017807, -0.028062203899025917, -0.0027934235986322165, 0.006936664693057537, -0.033136025071144104, -0.029460428282618523, -0.0038354655262082815, -0.04384090006351471, -0.04042233154177666, -0.017123978585004807, -0.06303051859140396, -0.04541131108999252, -0.04483266547322273, -0.003625073004513979, -0.0038084506522864103, 0.006818330381065607, 0.0019274388905614614, -0.04314403980970383, -0.00038167336606420577, -0.0053742509335279465, -0.06772399693727493, -0.016631608828902245, -0.01506811287254095, -0.09100811183452606, -0.03677324578166008, 0.019689956679940224, -0.00044624845031648874, -0.0045380983501672745, 0.028423339128494263, -0.029034795239567757, -0.012933742254972458, 0.025447450578212738, -0.05148119851946831, -0.02945718541741371, 0.019084127619862556, -0.07236172258853912, -0.04891720414161682, 0.02933291159570217, 0.015237526968121529, -0.017061932012438774, 0.048010390251874924, -0.003894955385476351, -0.017166443169116974, 0.060967057943344116, -0.02439580298960209, -0.02290215902030468, 0.06428838521242142, -0.04191628843545914, -0.03334621340036392]","[0.0, 0.0, 0.5066, 0.0, 0.0, 0.0, 0.0, 0.37579999999999997, 0.4362333333333333, 0.0, 0.0, 0.0, 0.0, 0.6918666666666665, 0.0, 0.0, 0.0, 0.0, 1.7434, 0.0, 0.0, 0.0, 0.0, -1.4428333333333334, 1.8838666666666668, 0.0, 0.0, 0.0, 0.0, -1.4860999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.012414779514074326, 0.0924878865480423, -0.008331096731126308, -0.03524121642112732, 0.06549178063869476, -0.011152309365570545, -0.04905044287443161, 0.03924381360411644, -0.015547423623502254, -0.06017317995429039, 0.005179461091756821, -0.018714485689997673, -0.06616225093603134, -0.02314608357846737, -0.016207976266741753, -0.028186004608869553, -0.0025978111661970615, 0.00699457386508584, -0.03292229399085045, -0.029310258105397224, -0.0033675821032375097, -0.043750740587711334, -0.04099166765809059, -0.016615236178040504, -0.06265567243099213, -0.04608333110809326, -0.04401687905192375, -0.003693024395033717, -0.0037384997121989727, 0.0069951945915818214, 0.002021794207394123, -0.043033432215452194, -0.00011001931852661073, -0.005107654724270105, -0.06762795895338058, -0.016242198646068573, -0.014661531895399094, -0.09099779278039932, -0.03662630543112755, 0.019799288362264633, -0.00041626987513154745, -0.004596132319420576, 0.02884885109961033, -0.028773972764611244, -0.012756428681313992, 0.026155203580856323, -0.05099834129214287, -0.028699029237031937, 0.01960524171590805, -0.07170760631561279, -0.04792390391230583, 0.02916664443910122, 0.01519066747277975, -0.017472149804234505, 0.04822871461510658, -0.003716208040714264, -0.01705273613333702, 0.06149613484740257, -0.023965785279870033, -0.02242271602153778, 0.06481853127479553, -0.041823916137218475, -0.0323433056473732]","[0.0, 0.0, 0.50674, 0.0, 0.0, 0.0, 0.0, 0.37576, 0.43584000000000006, 0.0, 0.0, 0.0, 0.0, 0.69162, 0.0, 0.0, 0.0, 0.0, 1.74268, 0.0, 0.0, 0.0, 0.0, -1.4412800000000001, 1.8816199999999998, 0.0, 0.0, 0.0, 0.0, -1.48638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.012450696900486946, 0.09344625473022461, -0.00914835836738348, -0.03550039604306221, 0.06640464067459106, -0.011843529529869556, -0.049578528851270676, 0.04024960845708847, -0.01606614701449871, -0.0608522929251194, 0.006089565809816122, -0.018346061930060387, -0.06659532338380814, -0.022632159292697906, -0.015926003456115723, -0.028134770691394806, -0.0027495636604726315, 0.00737115740776062, -0.03295677900314331, -0.029445333406329155, -0.002967383712530136, -0.04402557760477066, -0.04086098074913025, -0.01661612093448639, -0.06295467913150787, -0.046639103442430496, -0.043812789022922516, -0.0037277741357684135, -0.0039027761667966843, 0.007106020115315914, 0.002265965100377798, -0.043173812329769135, 0.00023244343174155802, -0.005041071679443121, -0.06795403361320496, -0.01616126112639904, -0.015219490975141525, -0.09152789413928986, -0.03700646013021469, 0.01967671327292919, -0.0004329067887738347, -0.0047819181345403194, 0.02830086275935173, -0.028987303376197815, -0.01314714178442955, 0.025878367945551872, -0.05130859836935997, -0.029539858922362328, 0.019477471709251404, -0.0719817653298378, -0.049583692103624344, 0.029188871383666992, 0.015445871278643608, -0.017634548246860504, 0.048212938010692596, -0.0036819535307586193, -0.01731543242931366, 0.06149815768003464, -0.024326937273144722, -0.022668631747364998, 0.06517959386110306, -0.04220925271511078, -0.032762911170721054]","[0.0, 0.0, 0.5069333333333333, 0.0, 0.0, 0.0, 0.0, 0.3760666666666667, 0.4364666666666667, 0.0, 0.0, 0.0, 0.0, 0.6918666666666665, 0.0, 0.0, 0.0, 0.0, 1.7424666666666668, 0.0, 0.0, 0.0, 0.0, -1.4410666666666667, 1.8823666666666667, 0.0, 0.0, 0.0, 0.0, -1.4856333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.012488953769207, 0.09320268779993057, -0.008638942614197731, -0.03556637465953827, 0.06613627821207047, -0.011763997375965118, -0.04971456527709961, 0.039961397647857666, -0.0158914253115654, -0.06057335063815117, 0.005937035195529461, -0.01849285326898098, -0.0667756125330925, -0.02275005914270878, -0.015989083796739578, -0.02814152091741562, -0.0028466852381825447, 0.007178395986557007, -0.03283216431736946, -0.02966395951807499, -0.0031595814507454634, -0.04373668134212494, -0.041286490857601166, -0.01661696285009384, -0.06264378875494003, -0.047042980790138245, -0.04395386576652527, -0.003659226931631565, -0.003839257173240185, 0.006947780027985573, 0.0020509101450443268, -0.043228499591350555, -0.0001777244033291936, -0.0050511108711361885, -0.06792578101158142, -0.01656331494450569, -0.014710471034049988, -0.09103523194789886, -0.03702440485358238, 0.019711455330252647, -0.0004055987810716033, -0.004589695483446121, 0.02869347482919693, -0.02922073006629944, -0.01284482516348362, 0.026108287274837494, -0.051764536648988724, -0.02925664559006691, 0.01978272944688797, -0.07252344489097595, -0.04877485707402229, 0.02944551780819893, 0.015307724475860596, -0.017332229763269424, 0.04840143397450447, -0.00379440700635314, -0.016959236934781075, 0.06161607429385185, -0.02440517023205757, -0.022547468543052673, 0.06491436064243317, -0.04199626296758652, -0.032841023057699203]","[0.0, 0.0, 0.5070749999999999, 0.0, 0.0, 0.0, 0.0, 0.3759, 0.43587499999999996, 0.0, 0.0, 0.0, 0.0, 0.692125, 0.0, 0.0, 0.0, 0.0, 1.742425, 0.0, 0.0, 0.0, 0.0, -1.442325, 1.883425, 0.0, 0.0, 0.0, 0.0, -1.4854500000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.01271040178835392, 0.09265553206205368, -0.006173986010253429, -0.035457026213407516, 0.06558341532945633, -0.010172613896429539, -0.04930170997977257, 0.03979065641760826, -0.015488889068365097, -0.06005387753248215, 0.005946013145148754, -0.020204074680805206, -0.06568369269371033, -0.02287019044160843, -0.01894143968820572, -0.028030866757035255, -0.002662353916093707, 0.006644568871706724, -0.032738856971263885, -0.02966804802417755, -0.003846924053505063, -0.04337393492460251, -0.041244737803936005, -0.01720009557902813, -0.0622863695025444, -0.0463455431163311, -0.0448419488966465, -0.0036841528490185738, -0.0038291860837489367, 0.00676390528678894, 0.0019800206646323204, -0.043108344078063965, -0.00037271450855769217, -0.005121958442032337, -0.0677621141076088, -0.016546795144677162, -0.014511007815599442, -0.09095187485218048, -0.03674391657114029, 0.019741766154766083, -0.00029924092814326286, -0.004299357067793608, 0.028497008606791496, -0.028672605752944946, -0.012765695340931416, 0.026035990566015244, -0.050941817462444305, -0.028989126905798912, 0.019964106380939484, -0.07183244079351425, -0.04834709316492081, 0.02929043211042881, 0.015347540378570557, -0.01655491068959236, 0.04782239347696304, -0.003913968801498413, -0.016415158286690712, 0.06123147904872894, -0.023912904784083366, -0.02197745069861412, 0.06481105089187622, -0.041412103921175, -0.032296791672706604]","[0.0, 0.0, 0.5078499999999999, 0.0, 0.0, 0.0, 0.0, 0.37655, 0.43629999999999997, 0.0, 0.0, 0.0, 0.0, 0.692475, 0.0, 0.0, 0.0, 0.0, 1.7427000000000001, 0.0, 0.0, 0.0, 0.0, -1.4442750000000002, 1.8843500000000002, 0.0, 0.0, 0.0, 0.0, -1.486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.012744341045618057, 0.09297894686460495, -0.007377040572464466, -0.03574926778674126, 0.06587393581867218, -0.010590963996946812, -0.04976241663098335, 0.03972429409623146, -0.014890817925333977, -0.06029143184423447, 0.005459608044475317, -0.018393738195300102, -0.06568481773138046, -0.02328607439994812, -0.016604434698820114, -0.02822967804968357, -0.0029437062330543995, 0.006925878114998341, -0.03269525244832039, -0.029973454773426056, -0.0032304886262863874, -0.043178994208574295, -0.04139416292309761, -0.016850469633936882, -0.06231806054711342, -0.04679518938064575, -0.044463563710451126, -0.0036282967776060104, -0.003878694260492921, 0.006863731890916824, 0.0024121440947055817, -0.043203771114349365, -0.00012300620437599719, -0.004877201281487942, -0.06793556362390518, -0.016032608225941658, -0.014114173129200935, -0.09171008318662643, -0.03634321689605713, 0.019770855084061623, -0.00019156909547746181, -0.00458651315420866, 0.028726086020469666, -0.02846379205584526, -0.012895370833575726, 0.026348957791924477, -0.05091487988829613, -0.02909422479569912, 0.020749563351273537, -0.07222132384777069, -0.04851843789219856, 0.029170947149395943, 0.015612770803272724, -0.01720440201461315, 0.04808838665485382, -0.0037997569888830185, -0.016877437010407448, 0.06158757209777832, -0.023776821792125702, -0.02203524298965931, 0.06531450152397156, -0.04187575727701187, -0.03206007927656174]","[0.0, 0.0, 0.5079666666666667, 0.0, 0.0, 0.0, 0.0, 0.37666666666666665, 0.4361333333333333, 0.0, 0.0, 0.0, 0.0, 0.6931333333333333, 0.0, 0.0, 0.0, 0.0, 1.7424333333333333, 0.0, 0.0, 0.0, 0.0, -1.4436, 1.8842666666666668, 0.0, 0.0, 0.0, 0.0, -1.4871333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.012888896279036999, 0.09293925017118454, -0.007101474795490503, -0.03578833118081093, 0.06589158624410629, -0.010833912529051304, -0.04972906410694122, 0.03980976343154907, -0.015744661912322044, -0.060708679258823395, 0.006017918232828379, -0.019325394183397293, -0.06607193499803543, -0.022866828367114067, -0.017930425703525543, -0.028144853189587593, -0.0027453501243144274, 0.006919596344232559, -0.03261231258511543, -0.02963894233107567, -0.0034976245369762182, -0.04355934262275696, -0.04143836721777916, -0.017176853492856026, -0.06218733638525009, -0.0470021516084671, -0.04495009034872055, -0.0036989410873502493, -0.003941782284528017, 0.006823661737143993, 0.0019328026100993156, -0.043157026171684265, -0.0003204088134225458, -0.005184987094253302, -0.06800015270709991, -0.0167938731610775, -0.014828009530901909, -0.09152544289827347, -0.03738746419548988, 0.01984340324997902, -0.00022212148178368807, -0.004403302446007729, 0.028223417699337006, -0.028826389461755753, -0.013102118857204914, 0.02618279680609703, -0.0509331189095974, -0.02930060774087906, 0.019951781257987022, -0.0717441514134407, -0.048993680626153946, 0.029400508850812912, 0.015451230108737946, -0.016878003254532814, 0.048153553158044815, -0.00372899416834116, -0.016609160229563713, 0.06176282837986946, -0.024058442562818527, -0.022070087492465973, 0.06520451605319977, -0.0418291836977005, -0.03211667016148567]","[0.0, 0.0, 0.5078666666666667, 0.0, 0.0, 0.0, 0.0, 0.3767, 0.4364666666666666, 0.0, 0.0, 0.0, 0.0, 0.6927, 0.0, 0.0, 0.0, 0.0, 1.7428666666666668, 0.0, 0.0, 0.0, 0.0, -1.4404000000000001, 1.8835, 0.0, 0.0, 0.0, 0.0, -1.4868333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.013086715713143349, 0.09293816238641739, -0.008783531375229359, -0.03593886271119118, 0.06597208231687546, -0.011815349571406841, -0.04980751499533653, 0.03954743966460228, -0.01607835665345192, -0.060692284256219864, 0.005409750156104565, -0.018840961158275604, -0.06625567376613617, -0.023396365344524384, -0.01718464307487011, -0.02789883129298687, -0.002882571890950203, 0.0069444188848137856, -0.03248019516468048, -0.029642919078469276, -0.0032988956663757563, -0.04305720329284668, -0.04124489799141884, -0.016932839527726173, -0.06173078343272209, -0.04713161662220955, -0.044662151485681534, -0.0036389692686498165, -0.003815719857811928, 0.006947377696633339, 0.0024089980870485306, -0.0428214855492115, 6.234108150238171e-05, -0.004892239812761545, -0.06755577772855759, -0.016305971890687943, -0.014416507445275784, -0.0914807990193367, -0.03688186779618263, 0.01983417198061943, -0.00028248887974768877, -0.004428350366652012, 0.028773879632353783, -0.028554216027259827, -0.01299754437059164, 0.026882126927375793, -0.050616588443517685, -0.0291725043207407, 0.020994726568460464, -0.07157128304243088, -0.048522401601076126, 0.029236914590001106, 0.015363417565822601, -0.017088990658521652, 0.04799248278141022, -0.003654669038951397, -0.016873791813850403, 0.0616946704685688, -0.02400801330804825, -0.022290924564003944, 0.06561800092458725, -0.041759297251701355, -0.0325702428817749]","[0.0, 0.0, 0.5076, 0.0, 0.0, 0.0, 0.0, 0.376375, 0.43665, 0.0, 0.0, 0.0, 0.0, 0.6928500000000001, 0.0, 0.0, 0.0, 0.0, 1.742775, 0.0, 0.0, 0.0, 0.0, -1.4418, 1.886125, 0.0, 0.0, 0.0, 0.0, -1.48725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.012447605840861797, 0.09286285191774368, -0.006538488902151585, -0.03563140705227852, 0.06605960428714752, -0.009930097497999668, -0.049577292054891586, 0.039868250489234924, -0.014743090607225895, -0.060046590864658356, 0.00574374757707119, -0.018799403682351112, -0.06545030325651169, -0.023033134639263153, -0.017504030838608742, -0.028218919411301613, -0.0028774908278137445, 0.006626724265515804, -0.0325394906103611, -0.029924552887678146, -0.0035129087045788765, -0.04270060732960701, -0.04116705432534218, -0.016905024647712708, -0.06151357293128967, -0.04681558534502983, -0.044716864824295044, -0.0037212541792541742, -0.0038588778115808964, 0.006759727839380503, 0.002290150849148631, -0.043122466653585434, -0.0003404800081625581, -0.004891707096248865, -0.06765536963939667, -0.016364088281989098, -0.014181742444634438, -0.09132696688175201, -0.036735717207193375, 0.01979590207338333, -0.00020620855502784252, -0.004355808719992638, 0.02851054072380066, -0.02875087969005108, -0.013209952972829342, 0.026135867461562157, -0.05099784582853317, -0.029512306675314903, 0.02054007537662983, -0.07213052362203598, -0.04893561452627182, 0.029476087540388107, 0.015342156402766705, -0.016577912494540215, 0.04829682037234306, -0.00402853125706315, -0.016659138724207878, 0.06172696873545647, -0.024324607104063034, -0.022229500114917755, 0.06564042717218399, -0.0420849472284317, -0.032015156000852585]","[0.0, 0.0, 0.508475, 0.0, 0.0, 0.0, 0.0, 0.377225, 0.436775, 0.0, 0.0, 0.0, 0.0, 0.693725, 0.0, 0.0, 0.0, 0.0, 1.742575, 0.0, 0.0, 0.0, 0.0, -1.4415499999999999, 1.882875, 0.0, 0.0, 0.0, 0.0, -1.4868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
