,mphands_data,eit_data
0,"[-0.022173769772052765, 0.09306003898382187, 0.001612539286725223, -0.0435003861784935, 0.0651642307639122, -0.0040020449087023735, -0.0537605844438076, 0.03842467814683914, -0.010666973888874054, -0.05706005170941353, 0.0060095032677054405, -0.023232784122228622, -0.04544184356927872, -0.0177573561668396, -0.03054560162127018, -0.02728092111647129, -0.005886368919163942, 0.007539914920926094, -0.02533711865544319, -0.03170718997716904, -0.003985426388680935, -0.032687846571207047, -0.04103618860244751, -0.019310271367430687, -0.05058320239186287, -0.041686270385980606, -0.04697464033961296, -0.0029424461536109447, -0.005069555249065161, 0.006524312775582075, 0.006357832811772823, -0.04231896623969078, -0.0019079591147601604, 0.0011934563517570496, -0.06767123937606812, -0.018065843731164932, -0.005496403202414513, -0.09010064601898193, -0.036821622401475906, 0.018908418715000153, 0.0017324468353763223, -0.00469152582809329, 0.02933673933148384, -0.02638706937432289, -0.013545621186494827, 0.03026745468378067, -0.04841145873069763, -0.030563483014702797, 0.025250684469938278, -0.06892476975917816, -0.04813924804329872, 0.026687204837799072, 0.01875966414809227, -0.016199149191379547, 0.047213103622198105, 0.00020696688443422318, -0.017003359273076057, 0.0590556338429451, -0.01901647076010704, -0.0235209371894598, 0.06248149275779724, -0.03769094496965408, -0.03603290021419525]","[0.0, 0.0, 0.515625, 0.0, 0.0, 0.0, 0.0, 0.36995, 0.46105, 0.0, 0.0, 0.0, 0.0, 0.753025, 0.0, 0.0, 0.0, 0.0, 1.7168, 0.0, 0.0, 0.0, 0.0, -1.5218749999999999, 1.850025, 0.0, 0.0, 0.0, 0.0, -1.486625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.02151060476899147, 0.0926738828420639, 0.0024134316481649876, -0.042601078748703, 0.06484723091125488, -0.003370357910171151, -0.05370328575372696, 0.03860291466116905, -0.010712300427258015, -0.05785372480750084, 0.006632409058511257, -0.023566413670778275, -0.046515826135873795, -0.017326757311820984, -0.030851131305098534, -0.027068015187978745, -0.00562268914654851, 0.007250648457556963, -0.025769617408514023, -0.03129997476935387, -0.00427071051672101, -0.03293909505009651, -0.04054104536771774, -0.02011639066040516, -0.05092855542898178, -0.04104974865913391, -0.04854035750031471, -0.002891896292567253, -0.005070811603218317, 0.006548713427037001, 0.006218976806849241, -0.042210642248392105, -0.001708886818960309, 0.0007996251806616783, -0.06764677911996841, -0.01838436909019947, -0.005868367850780487, -0.0897408127784729, -0.03763718903064728, 0.019259678199887276, 0.0015461491420865059, -0.004510612227022648, 0.028824517503380775, -0.026684191077947617, -0.013447831384837627, 0.029826205223798752, -0.048484474420547485, -0.031126869842410088, 0.02440132014453411, -0.06901706010103226, -0.05019388347864151, 0.026612520217895508, 0.01863107830286026, -0.016024382784962654, 0.047129154205322266, 0.00015692226588726044, -0.016746407374739647, 0.05846381187438965, -0.018882516771554947, -0.02380414307117462, 0.061091892421245575, -0.03783812001347542, -0.03752638399600983]","[0.0, 0.0, 0.5152749999999999, 0.0, 0.0, 0.0, 0.0, 0.37015, 0.46115, 0.0, 0.0, 0.0, 0.0, 0.7531249999999999, 0.0, 0.0, 0.0, 0.0, 1.71625, 0.0, 0.0, 0.0, 0.0, -1.5205, 1.8505250000000002, 0.0, 0.0, 0.0, 0.0, -1.488075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.0216202549636364, 0.09268608689308167, 0.0014726322842761874, -0.0426408052444458, 0.06473424285650253, -0.0039299665950238705, -0.0536762960255146, 0.038067325949668884, -0.010580934584140778, -0.05719669163227081, 0.005904816091060638, -0.022397449240088463, -0.04514382407069206, -0.01806890405714512, -0.02919706143438816, -0.027095109224319458, -0.0054464517161250114, 0.007436622865498066, -0.025354523211717606, -0.031543977558612823, -0.004056932870298624, -0.03256843611598015, -0.0409330353140831, -0.019836563616991043, -0.050327468663454056, -0.041094765067100525, -0.048117272555828094, -0.002944020554423332, -0.005080457776784897, 0.006563221104443073, 0.00619427440688014, -0.042215265333652496, -0.0017142356373369694, 0.0008657192811369896, -0.0678349956870079, -0.018468080088496208, -0.005622213706374168, -0.08981399238109589, -0.03780732303857803, 0.0191867146641016, 0.0017035597702488303, -0.00470383744686842, 0.02883566915988922, -0.026621807366609573, -0.013601616956293583, 0.029921241104602814, -0.04814986139535904, -0.031041370704770088, 0.02480560541152954, -0.06874921917915344, -0.04956488683819771, 0.026462243869900703, 0.018569868057966232, -0.016345610842108727, 0.04701675847172737, -1.8096528947353363e-05, -0.016940820962190628, 0.05902039259672165, -0.019078470766544342, -0.023840347304940224, 0.06223278492689133, -0.03816235810518265, -0.03687408193945885]","[0.0, 0.0, 0.5155333333333334, 0.0, 0.0, 0.0, 0.0, 0.37033333333333335, 0.46143333333333336, 0.0, 0.0, 0.0, 0.0, 0.7537333333333334, 0.0, 0.0, 0.0, 0.0, 1.7166666666666668, 0.0, 0.0, 0.0, 0.0, -1.5224, 1.8509, 0.0, 0.0, 0.0, 0.0, -1.4882666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.02136179991066456, 0.09260760992765427, 0.0020537134259939194, -0.04246256500482559, 0.06480702757835388, -0.0033932391088455915, -0.05362873524427414, 0.0383523553609848, -0.010031010024249554, -0.05726558715105057, 0.0060129715129733086, -0.02180255949497223, -0.04618021473288536, -0.018267054110765457, -0.029013745486736298, -0.026892894878983498, -0.005669065751135349, 0.007413758430629969, -0.025419512763619423, -0.03149610757827759, -0.004111864138394594, -0.03255218267440796, -0.04023513197898865, -0.019536981359124184, -0.050526268780231476, -0.04086034744977951, -0.047307338565588, -0.0029736924916505814, -0.004998739808797836, 0.006605218630284071, 0.006347029469907284, -0.041923992335796356, -0.001974481623619795, 0.0009715966880321503, -0.06733113527297974, -0.01862732693552971, -0.005635489709675312, -0.08922310918569565, -0.03807082772254944, 0.018992207944393158, 0.0016247876919806004, -0.004805040545761585, 0.028812620788812637, -0.02626711130142212, -0.013666818849742413, 0.029960762709379196, -0.04807892441749573, -0.031031126156449318, 0.025026507675647736, -0.0686141774058342, -0.048875842243433, 0.026374030858278275, 0.01846233382821083, -0.016144881024956703, 0.0474000908434391, 4.6749599277973175e-05, -0.017041033133864403, 0.05947917699813843, -0.01935291662812233, -0.023660074919462204, 0.0629274994134903, -0.038484372198581696, -0.036451373249292374]","[0.0, 0.0, 0.5151749999999999, 0.0, 0.0, 0.0, 0.0, 0.37, 0.461175, 0.0, 0.0, 0.0, 0.0, 0.753525, 0.0, 0.0, 0.0, 0.0, 1.718125, 0.0, 0.0, 0.0, 0.0, -1.5230750000000002, 1.8504, 0.0, 0.0, 0.0, 0.0, -1.487025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.021525733172893524, 0.0925493910908699, 0.0025559067726135254, -0.0426097996532917, 0.06480848044157028, -0.0032089725136756897, -0.053726598620414734, 0.038436032831668854, -0.010673015378415585, -0.05775456875562668, 0.005852748639881611, -0.023515375331044197, -0.045781444758176804, -0.018357567489147186, -0.03030017577111721, -0.02723844163119793, -0.0056844898499548435, 0.007169447839260101, -0.025713615119457245, -0.03137216717004776, -0.004423862788826227, -0.03309789299964905, -0.040652886033058167, -0.019710449501872063, -0.050773877650499344, -0.041523296386003494, -0.04798078536987305, -0.0029909354634582996, -0.0049961768090724945, 0.006551319733262062, 0.006244211457669735, -0.04224514216184616, -0.001851093489676714, 0.0006045475602149963, -0.06771965324878693, -0.018081892281770706, -0.006246588192880154, -0.09004704654216766, -0.03719298169016838, 0.019239896908402443, 0.00167963863350451, -0.004411834757775068, 0.028927650302648544, -0.026332613080739975, -0.013608413748443127, 0.029697127640247345, -0.048124950379133224, -0.030706200748682022, 0.02402126044034958, -0.06890441477298737, -0.049073725938797, 0.02690734714269638, 0.0185653418302536, -0.01591668277978897, 0.04763345420360565, 0.00040330225601792336, -0.0168654453009367, 0.05962838977575302, -0.01875344105064869, -0.02362060360610485, 0.06212303042411804, -0.03773494064807892, -0.036742568016052246]","[0.0, 0.0, 0.5152666666666667, 0.0, 0.0, 0.0, 0.0, 0.3698333333333334, 0.46090000000000003, 0.0, 0.0, 0.0, 0.0, 0.7533, 0.0, 0.0, 0.0, 0.0, 1.7180333333333333, 0.0, 0.0, 0.0, 0.0, -1.5224666666666666, 1.8506333333333334, 0.0, 0.0, 0.0, 0.0, -1.4879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.021542664617300034, 0.09264606982469559, 0.00037362740840762854, -0.042704202234745026, 0.06481801718473434, -0.004773404914885759, -0.0538465678691864, 0.03818711265921593, -0.01133342832326889, -0.05755801871418953, 0.005638508126139641, -0.023312009871006012, -0.04542030394077301, -0.017644450068473816, -0.029218999668955803, -0.027341600507497787, -0.0055992999114096165, 0.0070523847825825214, -0.026023514568805695, -0.03134209290146828, -0.004065430723130703, -0.03321237862110138, -0.04061521589756012, -0.01962280459702015, -0.05135665461421013, -0.04165176302194595, -0.04806583747267723, -0.002866430440917611, -0.0049140118062496185, 0.006433458533138037, 0.006064701825380325, -0.04217994585633278, -0.001757663325406611, 0.0005995761603116989, -0.06782857328653336, -0.01775474101305008, -0.005920246243476868, -0.09006844460964203, -0.03700226545333862, 0.019345009699463844, 0.0015658987686038017, -0.004406611900776625, 0.029227541759610176, -0.026894638314843178, -0.013112492859363556, 0.02982889860868454, -0.048708390444517136, -0.02991192229092121, 0.024697208777070045, -0.0694090723991394, -0.04814143851399422, 0.026829980313777924, 0.018414292484521866, -0.0160642359405756, 0.047766927629709244, -0.00029600225389003754, -0.016546307131648064, 0.059426452964544296, -0.019592618569731712, -0.022848865017294884, 0.06213325634598732, -0.038945309817790985, -0.03539010509848595]","[0.0, 0.0, 0.51575, 0.0, 0.0, 0.0, 0.0, 0.370425, 0.4616, 0.0, 0.0, 0.0, 0.0, 0.7537999999999999, 0.0, 0.0, 0.0, 0.0, 1.7173500000000002, 0.0, 0.0, 0.0, 0.0, -1.5202749999999998, 1.8510499999999999, 0.0, 0.0, 0.0, 0.0, -1.488175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.021450931206345558, 0.09248144924640656, 0.00411870377138257, -0.042608801275491714, 0.06490403413772583, -0.0025133213493973017, -0.05396227538585663, 0.03877559304237366, -0.0102040134370327, -0.058079835027456284, 0.006738237105309963, -0.023348409682512283, -0.04601382464170456, -0.01713230460882187, -0.030928129330277443, -0.027163630351424217, -0.005865389946848154, 0.006799510680139065, -0.025719866156578064, -0.03145027533173561, -0.004607409238815308, -0.03264959901571274, -0.04039181396365166, -0.020410893484950066, -0.0508866086602211, -0.04079567641019821, -0.04857378080487251, -0.0030465302988886833, -0.005072719417512417, 0.006449924316257238, 0.006301854737102985, -0.04210895672440529, -0.001999286701902747, 0.0005778037011623383, -0.06766501814126968, -0.018877234309911728, -0.005848368629813194, -0.08985430747270584, -0.03821112588047981, 0.019484587013721466, 0.0016476630698889494, -0.004356923513114452, 0.029157651588320732, -0.026663199067115784, -0.013762432150542736, 0.03021753765642643, -0.04819658398628235, -0.031382158398628235, 0.02475758269429207, -0.06874670833349228, -0.04993424564599991, 0.026592275127768517, 0.01862953044474125, -0.01541095320135355, 0.047775086015462875, 1.1661089956760406e-05, -0.016310056671500206, 0.059692297130823135, -0.019171228632330894, -0.023103078827261925, 0.06266593188047409, -0.03881051391363144, -0.035954754799604416]","[0.0, 0.0, 0.5158333333333333, 0.0, 0.0, 0.0, 0.0, 0.37023333333333336, 0.4611, 0.0, 0.0, 0.0, 0.0, 0.7535666666666666, 0.0, 0.0, 0.0, 0.0, 1.7176, 0.0, 0.0, 0.0, 0.0, -1.5219666666666667, 1.8501333333333332, 0.0, 0.0, 0.0, 0.0, -1.4883666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.020678088068962097, 0.092635378241539, 0.004537999629974365, -0.04211211949586868, 0.06495193392038345, -0.0020500572863966227, -0.05357919633388519, 0.039031751453876495, -0.009483680129051208, -0.05801372230052948, 0.00697883777320385, -0.023202912881970406, -0.04656098410487175, -0.017136242240667343, -0.03130602091550827, -0.027275435626506805, -0.0057050324976444244, 0.006978556513786316, -0.025759249925613403, -0.031677886843681335, -0.0046837059780955315, -0.03266311064362526, -0.04071877896785736, -0.02037656493484974, -0.05083225294947624, -0.04056822508573532, -0.04867776855826378, -0.003021431853994727, -0.005176440812647343, 0.006537505891174078, 0.006226062308996916, -0.042261719703674316, -0.002161631127819419, 0.0007023308426141739, -0.06764213740825653, -0.01918743923306465, -0.006058250553905964, -0.08937796950340271, -0.03853554651141167, 0.019119728356599808, 0.0015988245140761137, -0.004529871977865696, 0.028903279453516006, -0.02638145349919796, -0.013533755205571651, 0.029703199863433838, -0.04820580035448074, -0.03160344436764717, 0.024397030472755432, -0.0686354786157608, -0.050434429198503494, 0.02680835872888565, 0.01870676875114441, -0.015449591912329197, 0.047019291669130325, 0.0006313533522188663, -0.01681329682469368, 0.05828838422894478, -0.017949599772691727, -0.024444766342639923, 0.061356574296951294, -0.03647575527429581, -0.03841648995876312]","[0.0, 0.0, 0.5162249999999999, 0.0, 0.0, 0.0, 0.0, 0.36974999999999997, 0.461775, 0.0, 0.0, 0.0, 0.0, 0.7537999999999999, 0.0, 0.0, 0.0, 0.0, 1.717975, 0.0, 0.0, 0.0, 0.0, -1.522425, 1.850625, 0.0, 0.0, 0.0, 0.0, -1.4882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.021393371745944023, 0.09262487292289734, 0.002072575269266963, -0.04255198687314987, 0.06475379317998886, -0.0034138415940105915, -0.0537305548787117, 0.03844810277223587, -0.010621247813105583, -0.05818600952625275, 0.006394996307790279, -0.022920455783605576, -0.046480610966682434, -0.017443139106035233, -0.030206914991140366, -0.027091842144727707, -0.005751733668148518, 0.007162077818065882, -0.02590816840529442, -0.03151978924870491, -0.00419480400159955, -0.03292938694357872, -0.040608786046504974, -0.020082438364624977, -0.050943370908498764, -0.04094799607992172, -0.04808520898222923, -0.002961547113955021, -0.005072042346000671, 0.00654677813872695, 0.005943496711552143, -0.04192759841680527, -0.0020673726685345173, 0.00029218103736639023, -0.06758620589971542, -0.01889679580926895, -0.006499266251921654, -0.08942398428916931, -0.0384894460439682, 0.01949205994606018, 0.0016694108489900827, -0.0045503489673137665, 0.0285336934030056, -0.026963377371430397, -0.013258574530482292, 0.029416538774967194, -0.04885037615895271, -0.030395356938242912, 0.0238569974899292, -0.06942495703697205, -0.0482867993414402, 0.02670210599899292, 0.018540851771831512, -0.015796637162566185, 0.04694918915629387, -0.0002857549116015434, -0.016670972108840942, 0.058255940675735474, -0.019185401499271393, -0.023797495290637016, 0.06055890768766403, -0.03820251673460007, -0.03706904873251915]","[0.0, 0.0, 0.51585, 0.0, 0.0, 0.0, 0.0, 0.36970000000000003, 0.4617, 0.0, 0.0, 0.0, 0.0, 0.75455, 0.0, 0.0, 0.0, 0.0, 1.71685, 0.0, 0.0, 0.0, 0.0, -1.52175, 1.8501500000000002, 0.0, 0.0, 0.0, 0.0, -1.4881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.02123923972249031, 0.09278509765863419, 0.0022737951949238777, -0.04228225350379944, 0.06491339951753616, -0.0032991699408739805, -0.053018223494291306, 0.038691528141498566, -0.01130935549736023, -0.05733635276556015, 0.006429719738662243, -0.024319399148225784, -0.04565468803048134, -0.01705220341682434, -0.0318683460354805, -0.027317002415657043, -0.00569133460521698, 0.007323007099330425, -0.025241669267416, -0.03127683699131012, -0.004836683161556721, -0.03294048085808754, -0.040589410811662674, -0.02080707438290119, -0.050946518778800964, -0.04074413329362869, -0.04961956664919853, -0.0030129000078886747, -0.004972750786691904, 0.006349220406264067, 0.005805775057524443, -0.041955672204494476, -0.002073541283607483, 0.00045227259397506714, -0.06740405410528183, -0.01879301480948925, -0.006792450323700905, -0.08967703580856323, -0.038672856986522675, 0.019237011671066284, 0.0017434661276638508, -0.004457049537450075, 0.028494779020547867, -0.02678469754755497, -0.013573299162089825, 0.029500948265194893, -0.04800350219011307, -0.03084826096892357, 0.02403275854885578, -0.06868328154087067, -0.04964541271328926, 0.02685789205133915, 0.01877548173069954, -0.015966765582561493, 0.04690662771463394, -0.0005337381735444069, -0.016377709805965424, 0.0588565319776535, -0.01913417875766754, -0.023740438744425774, 0.0615869015455246, -0.03809027373790741, -0.036800626665353775]","[0.0, 0.0, 0.51586, 0.0, 0.0, 0.0, 0.0, 0.36946, 0.46118, 0.0, 0.0, 0.0, 0.0, 0.7538600000000001, 0.0, 0.0, 0.0, 0.0, 1.7177, 0.0, 0.0, 0.0, 0.0, -1.52244, 1.8497999999999997, 0.0, 0.0, 0.0, 0.0, -1.4890200000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
