,mphands_data,eit_data
0,"[-0.0043330565094947815, 0.0871039405465126, 0.031774915754795074, -0.028568850830197334, 0.06646404415369034, 0.013793470337986946, -0.042398568242788315, 0.04345424473285675, 0.0015599331818521023, -0.05537217855453491, 0.019249361008405685, -0.020618600770831108, -0.05746675282716751, -0.005169460084289312, -0.036911699920892715, -0.027253957465291023, -0.000753885367885232, 0.004758155904710293, -0.03552656248211861, -0.01391754113137722, -0.01895080879330635, -0.04420550912618637, -0.014466962777078152, -0.035920534282922745, -0.05626510828733444, -0.004002764821052551, -0.06156495213508606, -0.003510494716465473, -0.005107884760946035, 0.003980661276727915, 0.0024429596960544586, -0.0422183983027935, -0.005421080626547337, 3.445940092206001e-05, -0.06691623479127884, -0.022688042372465134, -0.003158414736390114, -0.09437219053506851, -0.03794563189148903, 0.017038363963365555, -0.0014379119966179132, -0.002705394057556987, 0.027702245861291885, -0.03184226155281067, -0.007764170877635479, 0.03406860679388046, -0.05620632320642471, -0.015078257769346237, 0.0373668372631073, -0.08150254189968109, -0.024554625153541565, 0.02630865015089512, 0.016120877116918564, -0.007299959659576416, 0.04518803581595421, -0.0003034707624465227, -0.010640854015946388, 0.055893607437610626, -0.01660657674074173, -0.018541887402534485, 0.0634780302643776, -0.029136555269360542, -0.029481079429388046]","[0.0, 0.0, 1.1846, 0.0, 0.0, 0.0, 0.0, 0.6642, 1.1352, 0.0, 0.0, 0.0, 0.0, 0.7749, 0.0, 0.0, 0.0, 0.0, -1.6302, 0.0, 0.0, 0.0, 0.0, 1.4343, -1.6886, 0.0, 0.0, 0.0, 0.0, 1.6204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.004407112020999193, 0.08694350719451904, 0.033498961478471756, -0.028389735147356987, 0.06636617332696915, 0.01456766203045845, -0.04225560650229454, 0.04383232071995735, 0.0023969807662069798, -0.0547315813601017, 0.019837431609630585, -0.020872728899121284, -0.05759464576840401, -0.004361542873084545, -0.03659431263804436, -0.027143530547618866, -0.00047415774315595627, 0.004380139522254467, -0.03609035164117813, -0.01348288357257843, -0.019888384267687798, -0.04448864609003067, -0.01364373229444027, -0.03692749887704849, -0.05602175369858742, -0.002657919656485319, -0.06289000064134598, -0.003414408303797245, -0.005052008666098118, 0.0036584686022251844, 0.0022535158786922693, -0.04234982654452324, -0.005673454608768225, -0.00025598471984267235, -0.06695663183927536, -0.023654358461499214, -0.0028385212644934654, -0.09404003620147705, -0.039070408791303635, 0.01726755127310753, -0.0014986753230914474, -0.0024323412217199802, 0.027148853987455368, -0.03159385919570923, -0.008597244508564472, 0.033477749675512314, -0.05582309141755104, -0.017304500564932823, 0.03702433034777641, -0.08098063617944717, -0.02789965085685253, 0.026177434250712395, 0.016021644696593285, -0.006653947755694389, 0.04443059861660004, -0.00042009842582046986, -0.010344462469220161, 0.05517366901040077, -0.01614346355199814, -0.019303729757666588, 0.06277309358119965, -0.028307203203439713, -0.03176005557179451]","[0.0, 0.0, 1.18465, 0.0, 0.0, 0.0, 0.0, 0.670825, 1.1340000000000001, 0.0, 0.0, 0.0, 0.0, 0.7761, 0.0, 0.0, 0.0, 0.0, -1.6318, 0.0, 0.0, 0.0, 0.0, 1.439425, -1.6845750000000002, 0.0, 0.0, 0.0, 0.0, 1.600275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.004552556201815605, 0.08748170733451843, 0.028875138610601425, -0.028989680111408234, 0.06643737107515335, 0.0116344029083848, -0.04331636801362038, 0.043605461716651917, 0.0010166545398533344, -0.0558314248919487, 0.019203195348381996, -0.019413268193602562, -0.058454882353544235, -0.004731594119220972, -0.033184029161930084, -0.02731821872293949, 0.00016083288937807083, 0.004916385747492313, -0.035913463681936264, -0.01357432920485735, -0.018662050366401672, -0.044199686497449875, -0.013955299742519855, -0.03543008863925934, -0.05593638867139816, -0.0035241004079580307, -0.06098832190036774, -0.0034304633736610413, -0.004995578899979591, 0.004076753277331591, 0.0024022459983825684, -0.042411692440509796, -0.005132168531417847, -0.0003244541585445404, -0.06734829396009445, -0.02223781682550907, -0.003326046746224165, -0.09455888718366623, -0.03724516183137894, 0.017298735678195953, -0.0018995482241734862, -0.0029894837643951178, 0.028014007955789566, -0.03198811411857605, -0.007443524897098541, 0.033743396401405334, -0.05660028010606766, -0.014979491010308266, 0.037369318306446075, -0.08187177032232285, -0.024435030296444893, 0.026311853900551796, 0.015638483688235283, -0.007614617235958576, 0.045382365584373474, -0.0008964026346802711, -0.01066289097070694, 0.0564505010843277, -0.017536262050271034, -0.017968134954571724, 0.06499727070331573, -0.030608154833316803, -0.028284268453717232]","[0.0, 0.0, 1.1851666666666667, 0.0, 0.0, 0.0, 0.0, 0.6652333333333332, 1.1336333333333333, 0.0, 0.0, 0.0, 0.0, 0.7753666666666668, 0.0, 0.0, 0.0, 0.0, -1.6310666666666667, 0.0, 0.0, 0.0, 0.0, 1.437, -1.7111666666666665, 0.0, 0.0, 0.0, 0.0, 1.6163999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.004711662419140339, 0.08719232678413391, 0.03118760697543621, -0.02895081602036953, 0.06615312397480011, 0.012813426554203033, -0.042843010276556015, 0.04361816868185997, 0.0010890678968280554, -0.05525564029812813, 0.01933228224515915, -0.021246399730443954, -0.05791362375020981, -0.004814325366169214, -0.03590068221092224, -0.027150314301252365, -0.0005647656507790089, 0.004359937738627195, -0.03612757474184036, -0.014463219791650772, -0.019305076450109482, -0.0445079579949379, -0.014208639040589333, -0.03626105934381485, -0.056142497807741165, -0.0034599232021719217, -0.0624295175075531, -0.00350127462297678, -0.00490861851722002, 0.00396936247125268, 0.0023236062843352556, -0.04238850995898247, -0.005252290982753038, -0.0005390029400587082, -0.06710653007030487, -0.022452520206570625, -0.003618796356022358, -0.09416928887367249, -0.0379660427570343, 0.017498385161161423, -0.0014927232405170798, -0.002631401177495718, 0.027338048443198204, -0.031909868121147156, -0.007150683086365461, 0.03330153599381447, -0.056743308901786804, -0.014764208346605301, 0.03686990216374397, -0.08218777179718018, -0.02458006516098976, 0.026626471430063248, 0.015750261023640633, -0.007026318460702896, 0.04506455734372139, -0.001159766921773553, -0.009962532669305801, 0.056179653853178024, -0.01772773452103138, -0.017682481557130814, 0.06414142996072769, -0.030673056840896606, -0.029142698273062706]","[0.0, 0.0, 1.186075, 0.0, 0.0, 0.0, 0.0, 0.664675, 1.135025, 0.0, 0.0, 0.0, 0.0, 0.7787000000000001, 0.0, 0.0, 0.0, 0.0, -1.633975, 0.0, 0.0, 0.0, 0.0, 1.4415499999999999, -1.6797499999999999, 0.0, 0.0, 0.0, 0.0, 1.620975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.004268820397555828, 0.087464340031147, 0.03217162564396858, -0.028385398909449577, 0.0664174035191536, 0.014046769589185715, -0.042717207223176956, 0.043867409229278564, 0.002214728621765971, -0.055011872202157974, 0.019614065065979958, -0.019916919991374016, -0.0575408861041069, -0.004607018548995256, -0.03592021390795708, -0.027481788769364357, -0.00037511170376092196, 0.005186693277209997, -0.036041151732206345, -0.013752365484833717, -0.01904982142150402, -0.04486742243170738, -0.013741016387939453, -0.036085497587919235, -0.0566360205411911, -0.0021144752390682697, -0.06184002757072449, -0.003390838857740164, -0.00513893086463213, 0.0038857189938426018, 0.0025440233293920755, -0.042374879121780396, -0.005480099935084581, 0.00016054371371865273, -0.06694768369197845, -0.02265392802655697, -0.0027084737084805965, -0.09462246298789978, -0.0375063493847847, 0.0172573309391737, -0.001592285349033773, -0.002890470204874873, 0.02800910361111164, -0.03177999332547188, -0.00755804218351841, 0.03407110646367073, -0.05639093369245529, -0.01483773160725832, 0.037917692214250565, -0.08173622190952301, -0.023934321478009224, 0.02624618634581566, 0.016224432736635208, -0.007501635700464249, 0.04508814588189125, -0.0005590359214693308, -0.010524794459342957, 0.05630436912178993, -0.017105281352996826, -0.017933111637830734, 0.06445550173521042, -0.029946377500891685, -0.028404807671904564]","[0.0, 0.0, 1.184925, 0.0, 0.0, 0.0, 0.0, 0.66205, 1.135575, 0.0, 0.0, 0.0, 0.0, 0.775, 0.0, 0.0, 0.0, 0.0, -1.631675, 0.0, 0.0, 0.0, 0.0, 1.4494500000000001, -1.6944, 0.0, 0.0, 0.0, 0.0, 1.597275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.004535175394266844, 0.08728951960802078, 0.032190218567848206, -0.028505709022283554, 0.06646804511547089, 0.013821150176227093, -0.04250563681125641, 0.04377539083361626, 0.002580248983576894, -0.05510634928941727, 0.019874639809131622, -0.019852807745337486, -0.057414595037698746, -0.00373130664229393, -0.03541383892297745, -0.027072802186012268, -0.00033277017064392567, 0.004876432474702597, -0.035990044474601746, -0.013417236506938934, -0.018916217610239983, -0.044599007815122604, -0.013189559802412987, -0.035276349633932114, -0.05630401521921158, -0.002312122844159603, -0.06072325259447098, -0.0034076697193086147, -0.004954737611114979, 0.003900667419657111, 0.002422167919576168, -0.042254235595464706, -0.0052623143419623375, 0.00012250547297298908, -0.06737225502729416, -0.022278090938925743, -0.002988701220601797, -0.09466338902711868, -0.036995649337768555, 0.017038503661751747, -0.0016077803447842598, -0.0028289654292166233, 0.027945343405008316, -0.03178120031952858, -0.007796136662364006, 0.034020014107227325, -0.05656932294368744, -0.015314862132072449, 0.03769957274198532, -0.08177695423364639, -0.024188729003071785, 0.02602517046034336, 0.015781903639435768, -0.0073601072654128075, 0.04463895037770271, -0.0008259702008217573, -0.010498210787773132, 0.055845580995082855, -0.01729748398065567, -0.01774086430668831, 0.0640101358294487, -0.03029784932732582, -0.02871616929769516]","[0.0, 0.0, 1.1862666666666666, 0.0, 0.0, 0.0, 0.0, 0.6659333333333333, 1.1375333333333335, 0.0, 0.0, 0.0, 0.0, 0.7778666666666667, 0.0, 0.0, 0.0, 0.0, -1.6355666666666666, 0.0, 0.0, 0.0, 0.0, 1.4389333333333336, -1.7018666666666666, 0.0, 0.0, 0.0, 0.0, 1.6118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.004477272741496563, 0.08755563944578171, 0.03147426247596741, -0.028820134699344635, 0.06667482852935791, 0.01427979301661253, -0.04299543797969818, 0.044014669954776764, 0.0023273401893675327, -0.055348582565784454, 0.019695859402418137, -0.020337659865617752, -0.058110225945711136, -0.004342422820627689, -0.036327313631772995, -0.027241330593824387, -0.0003173918230459094, 0.005174667574465275, -0.03628081455826759, -0.013562570326030254, -0.018814437091350555, -0.04481237754225731, -0.01303837914019823, -0.03544650599360466, -0.056823547929525375, -0.0022470406256616116, -0.06065700203180313, -0.003130501601845026, -0.005114855710417032, 0.003838250180706382, 0.0022270199842751026, -0.042474351823329926, -0.005218523554503918, -0.0005877045914530754, -0.06730977445840836, -0.021431492641568184, -0.003717642743140459, -0.09489309787750244, -0.036329105496406555, 0.01717129908502102, -0.0018054030369967222, -0.003185327397659421, 0.027715053409337997, -0.031982116401195526, -0.007336779031902552, 0.03288218379020691, -0.05701375752687454, -0.014459796249866486, 0.03705794736742973, -0.08262265473604202, -0.023309309035539627, 0.025865139439702034, 0.015971850603818893, -0.007715100888162851, 0.045087844133377075, -0.0010161504615098238, -0.010634161531925201, 0.05574614554643631, -0.017697809264063835, -0.01783113181591034, 0.06398812681436539, -0.030994076281785965, -0.028440527617931366]","[0.0, 0.0, 1.185225, 0.0, 0.0, 0.0, 0.0, 0.674275, 1.133225, 0.0, 0.0, 0.0, 0.0, 0.7704749999999999, 0.0, 0.0, 0.0, 0.0, -1.636975, 0.0, 0.0, 0.0, 0.0, 1.430525, -1.679425, 0.0, 0.0, 0.0, 0.0, 1.614525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.004771721083670855, 0.08810954540967941, 0.02903827652335167, -0.02854819968342781, 0.06715673208236694, 0.012745195999741554, -0.04320757836103439, 0.04392016679048538, 0.002566525712609291, -0.055512212216854095, 0.01931420899927616, -0.017918072640895844, -0.05864272639155388, -0.0050987484864890575, -0.033038362860679626, -0.02709147334098816, 1.4559249393641949e-05, 0.005600659176707268, -0.03621980920433998, -0.013266842812299728, -0.018156809732317924, -0.04479557275772095, -0.012941782362759113, -0.03469644486904144, -0.05675285682082176, -0.0022790655493736267, -0.05950651690363884, -0.003274296410381794, -0.005034967325627804, 0.004043338354676962, 0.0021792054176330566, -0.042364925146102905, -0.0049496921710669994, -0.001168454997241497, -0.06709671020507812, -0.02193816564977169, -0.003479122184216976, -0.09515168517827988, -0.03652462363243103, 0.017229164019227028, -0.0018991137621924281, -0.0034892766270786524, 0.027751050889492035, -0.032269157469272614, -0.007402272429317236, 0.03359050676226616, -0.056958530098199844, -0.014017424546182156, 0.037961944937705994, -0.08285915106534958, -0.022081926465034485, 0.02574804052710533, 0.015640337020158768, -0.008477017283439636, 0.04507499188184738, -0.0010554010514169931, -0.011292161419987679, 0.05627768114209175, -0.018262092024087906, -0.017941080033779144, 0.06506024301052094, -0.031876493245363235, -0.027785278856754303]","[0.0, 0.0, 1.18618, 0.0, 0.0, 0.0, 0.0, 0.67248, 1.13912, 0.0, 0.0, 0.0, 0.0, 0.7783, 0.0, 0.0, 0.0, 0.0, -1.63714, 0.0, 0.0, 0.0, 0.0, 1.4462799999999998, -1.7062800000000002, 0.0, 0.0, 0.0, 0.0, 1.6089599999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.0037602069787681103, 0.08733533322811127, 0.03090338222682476, -0.02812628634274006, 0.06628386676311493, 0.012733318842947483, -0.04284987971186638, 0.043922290205955505, 0.0017286078073084354, -0.05578930675983429, 0.02005792409181595, -0.019851071760058403, -0.0593930147588253, -0.0046027288772165775, -0.03400411084294319, -0.027423741295933723, 6.910564843565226e-05, 0.004585788119584322, -0.03689245507121086, -0.013636987656354904, -0.019247405230998993, -0.04566017538309097, -0.01342580933123827, -0.036028653383255005, -0.05733513832092285, -0.002479122718796134, -0.06142339110374451, -0.0033988046925514936, -0.005127145908772945, 0.003934522625058889, 0.0018126966897398233, -0.04243055358529091, -0.004795867018401623, -0.0012912093661725521, -0.06780830025672913, -0.02182459458708763, -0.0040224408730864525, -0.09545854479074478, -0.03664875403046608, 0.01754756085574627, -0.0017863891553133726, -0.0026171598583459854, 0.027184879407286644, -0.032416436821222305, -0.007037506438791752, 0.03337641805410385, -0.0573635995388031, -0.01374437939375639, 0.03719737380743027, -0.08380691707134247, -0.02294290065765381, 0.02683178335428238, 0.015424242243170738, -0.007342909462749958, 0.045491140335798264, -0.0019496520981192589, -0.009891139343380928, 0.05680220201611519, -0.019512824714183807, -0.01684335432946682, 0.06577498465776443, -0.033693715929985046, -0.027115419507026672]","[0.0, 0.0, 1.1845999999999999, 0.0, 0.0, 0.0, 0.0, 0.6684666666666667, 1.1379333333333335, 0.0, 0.0, 0.0, 0.0, 0.7717333333333333, 0.0, 0.0, 0.0, 0.0, -1.6521333333333332, 0.0, 0.0, 0.0, 0.0, 1.4458333333333335, -1.6807, 0.0, 0.0, 0.0, 0.0, 1.6171, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.004374623764306307, 0.0880928561091423, 0.029165366664528847, -0.028482746332883835, 0.06713085621595383, 0.012349286116659641, -0.043043915182352066, 0.044683560729026794, 0.0022409274242818356, -0.055961936712265015, 0.01984231173992157, -0.018013441935181618, -0.05947912111878395, -0.004852962680160999, -0.03188065439462662, -0.026861989870667458, 0.0006042914465069771, 0.0052592940628528595, -0.036523886024951935, -0.013491668738424778, -0.018421359360218048, -0.045410674065351486, -0.013036833144724369, -0.03494228050112724, -0.05700021982192993, -0.002224569208920002, -0.060646723955869675, -0.00332098756916821, -0.005018182098865509, 0.004005991388112307, 0.0016785131301730871, -0.042407359927892685, -0.005329634994268417, -0.0012283099349588156, -0.06715761125087738, -0.021594630554318428, -0.004191920626908541, -0.09489579498767853, -0.03633151948451996, 0.017223669216036797, -0.001973235746845603, -0.003111726837232709, 0.027290550991892815, -0.03239220008254051, -0.006902705412358046, 0.03278638795018196, -0.05766698718070984, -0.012935283593833447, 0.036727435886859894, -0.08362705260515213, -0.020961109548807144, 0.026215460151433945, 0.015370921231806278, -0.007781792897731066, 0.045182403177022934, -0.0017766267992556095, -0.010323893278837204, 0.056973621249198914, -0.018920453265309334, -0.016418756917119026, 0.06599680334329605, -0.032592397183179855, -0.025782639160752296]","[0.0, 0.0, 1.185975, 0.0, 0.0, 0.0, 0.0, 0.67525, 1.1362999999999999, 0.0, 0.0, 0.0, 0.0, 0.7707999999999999, 0.0, 0.0, 0.0, 0.0, -1.644, 0.0, 0.0, 0.0, 0.0, 1.431625, -1.68525, 0.0, 0.0, 0.0, 0.0, 1.6142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
