,mphands_data,eit_data
0,"[0.008364444598555565, 0.09522738307714462, 0.009354664012789726, -0.021167967468500137, 0.07117227464914322, 0.0008079961990006268, -0.040606290102005005, 0.04577028751373291, -0.005079131573438644, -0.060033608227968216, 0.014384946785867214, -0.015292862430214882, -0.07602687925100327, -0.010707492008805275, -0.017623044550418854, -0.0297764353454113, -0.0003855610266327858, 0.006050266325473785, -0.03744209185242653, -0.03039521537721157, -0.0009292139438912272, -0.044608667492866516, -0.04932456091046333, -0.008632699027657509, -0.0543171651661396, -0.06515415012836456, -0.029728323221206665, -0.005342008080333471, -0.004965947940945625, 0.006123944651335478, -0.0033022831194102764, -0.04513728618621826, -0.0018983710324391723, -0.006963723339140415, -0.06843945384025574, -0.016971759498119354, -0.012134659104049206, -0.09138282388448715, -0.033198997378349304, 0.01975676231086254, -0.0011570933274924755, -0.0036393683403730392, 0.022861391305923462, -0.03248359635472298, -0.011773032136261463, 0.02245708741247654, -0.05675835907459259, -0.021875033155083656, 0.02311723679304123, -0.0789547935128212, -0.03265087679028511, 0.032938044518232346, 0.015846028923988342, -0.011840768158435822, 0.04774240031838417, -0.004664131905883551, -0.013960435055196285, 0.057128340005874634, -0.026299376040697098, -0.0207249503582716, 0.06204894930124283, -0.04258973151445389, -0.02939552627503872]","[0.0, 0.0, 1.1806666666666668, 0.0, 0.0, 0.0, 0.0, 0.9561999999999999, 1.1596666666666666, 0.0, 0.0, 0.0, 0.0, 0.5768, 0.0, 0.0, 0.0, 0.0, -1.6652333333333333, 0.0, 0.0, 0.0, 0.0, 1.4203999999999999, -1.7119666666666669, 0.0, 0.0, 0.0, 0.0, 1.6501666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[0.008947206661105156, 0.09479335695505142, 0.009622296318411827, -0.020780177786946297, 0.07144799828529358, 0.00011766410898417234, -0.04009778052568436, 0.04616359993815422, -0.007229428738355637, -0.05937117338180542, 0.014620423316955566, -0.018937120214104652, -0.07562396675348282, -0.010515008121728897, -0.021329449489712715, -0.030176445841789246, -0.00010606274008750916, 0.005085272714495659, -0.037927500903606415, -0.030346600338816643, -0.0019359958823770285, -0.04479052498936653, -0.049107834696769714, -0.010148991830646992, -0.054203540086746216, -0.06462286412715912, -0.032475296407938004, -0.005457442719489336, -0.0046672094613313675, 0.005961711052805185, -0.003452450502663851, -0.04548240080475807, -0.001666175201535225, -0.0070963650941848755, -0.06899160891771317, -0.016807718202471733, -0.012777532450854778, -0.09097079932689667, -0.03430977463722229, 0.020015764981508255, -0.0015116704162210226, -0.0030414066277444363, 0.023077143356204033, -0.033231206238269806, -0.010978195816278458, 0.022262800484895706, -0.05732908844947815, -0.021515149623155594, 0.022318001836538315, -0.07907532155513763, -0.03279302269220352, 0.03384530171751976, 0.015474194660782814, -0.010833102278411388, 0.048192720860242844, -0.005574680399149656, -0.0128162307664752, 0.0573037751019001, -0.02713504061102867, -0.01997620426118374, 0.061787765473127365, -0.0430583655834198, -0.029176240786910057]","[0.0, 0.0, 1.1790333333333332, 0.0, 0.0, 0.0, 0.0, 0.9587666666666665, 1.1605666666666667, 0.0, 0.0, 0.0, 0.0, 0.5808333333333334, 0.0, 0.0, 0.0, 0.0, -1.6656666666666666, 0.0, 0.0, 0.0, 0.0, 1.4012333333333336, -1.7022000000000002, 0.0, 0.0, 0.0, 0.0, 1.6559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[0.009415913373231888, 0.09507481008768082, 0.007893135771155357, -0.020673058927059174, 0.07204841822385788, -0.0006766515434719622, -0.040131498128175735, 0.046558547765016556, -0.0072475615888834, -0.059614405035972595, 0.015109894797205925, -0.017978332936763763, -0.07623328268527985, -0.009983310475945473, -0.020095469430088997, -0.03018784336745739, -0.00013633864000439644, 0.005622794385999441, -0.03808342292904854, -0.030278410762548447, -0.001299203489907086, -0.04480759799480438, -0.048825912177562714, -0.009175143204629421, -0.05448037385940552, -0.06481111794710159, -0.03102262318134308, -0.0055240485817193985, -0.004629482515156269, 0.006183127406984568, -0.0035549793392419815, -0.04521454498171806, -0.001632264698855579, -0.007044724188745022, -0.0688425749540329, -0.016459515318274498, -0.012597941793501377, -0.09129617363214493, -0.03373999521136284, 0.020102960988879204, -0.0014580355491489172, -0.003417037893086672, 0.023239005357027054, -0.033408667892217636, -0.01136323157697916, 0.022587498649954796, -0.057784341275691986, -0.021545937284827232, 0.022876307368278503, -0.07998648285865784, -0.032174691557884216, 0.033860258758068085, 0.015402702614665031, -0.011549152433872223, 0.048331815749406815, -0.0057195378467440605, -0.013524588197469711, 0.05767643824219704, -0.027540985494852066, -0.02020181529223919, 0.06218802183866501, -0.04390527680516243, -0.02849547751247883]","[0.0, 0.0, 1.1801249999999999, 0.0, 0.0, 0.0, 0.0, 0.95415, 1.160075, 0.0, 0.0, 0.0, 0.0, 0.578975, 0.0, 0.0, 0.0, 0.0, -1.666075, 0.0, 0.0, 0.0, 0.0, 1.426475, -1.6928250000000002, 0.0, 0.0, 0.0, 0.0, 1.665875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.009291108697652817, 0.09538671374320984, 0.010538250207901001, -0.02054956555366516, 0.07210765779018402, 0.0018000493291765451, -0.039832569658756256, 0.04669179767370224, -0.005308972671627998, -0.05948551744222641, 0.015271317213773727, -0.017092326655983925, -0.07620339840650558, -0.009360836818814278, -0.019909000024199486, -0.02987714856863022, -0.00029453542083501816, 0.006177906412631273, -0.03774692490696907, -0.030271127820014954, -0.0009202728979289532, -0.044956862926483154, -0.04882730916142464, -0.0084242457523942, -0.054941460490226746, -0.06456959992647171, -0.02976224012672901, -0.005451665259897709, -0.004816917702555656, 0.0061637526378035545, -0.003294178284704685, -0.04511837661266327, -0.0017917308723554015, -0.006965578533709049, -0.06886395812034607, -0.016447491943836212, -0.012714963406324387, -0.09170836955308914, -0.03310845047235489, 0.019874749705195427, -0.0012539956951513886, -0.0037265655118972063, 0.023122504353523254, -0.03290986642241478, -0.011600225232541561, 0.02243352308869362, -0.05753374099731445, -0.021325692534446716, 0.022641800343990326, -0.08040376007556915, -0.03182705119252205, 0.033321309834718704, 0.015751248225569725, -0.012041544541716576, 0.04746103286743164, -0.00505024753510952, -0.01434997096657753, 0.056716371327638626, -0.027058657258749008, -0.021098731085658073, 0.06086747348308563, -0.0436791367828846, -0.029986772686243057]","[0.0, 0.0, 1.1799666666666666, 0.0, 0.0, 0.0, 0.0, 0.9593666666666666, 1.1595666666666666, 0.0, 0.0, 0.0, 0.0, 0.5802999999999999, 0.0, 0.0, 0.0, 0.0, -1.6704333333333332, 0.0, 0.0, 0.0, 0.0, 1.4383666666666668, -1.6902666666666668, 0.0, 0.0, 0.0, 0.0, 1.6708333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[0.00853104516863823, 0.09578108787536621, 0.004650510381907225, -0.02081751637160778, 0.07208326458930969, -0.0017815101891756058, -0.0405709445476532, 0.04668461158871651, -0.00602496974170208, -0.060600169003009796, 0.015343733131885529, -0.013632862828671932, -0.07747437804937363, -0.008858398534357548, -0.013171386905014515, -0.02974442020058632, 9.049661457538605e-06, 0.006998556666076183, -0.03760433942079544, -0.029942143708467484, -5.9474725276231766e-05, -0.045290447771549225, -0.04824930429458618, -0.007560183294117451, -0.055973444133996964, -0.06338626891374588, -0.029603485018014908, -0.005218232050538063, -0.004566118586808443, 0.006399165838956833, -0.0038377107121050358, -0.04514378309249878, -0.0008425544947385788, -0.007842429913580418, -0.06927388906478882, -0.015112452208995819, -0.014175143092870712, -0.09171830117702484, -0.03139562904834747, 0.0195844117552042, -0.001492826035246253, -0.004292341880500317, 0.022380653768777847, -0.033733904361724854, -0.010910225100815296, 0.021390721201896667, -0.05863671749830246, -0.02002270333468914, 0.021307431161403656, -0.08169751614332199, -0.030010873451828957, 0.032719992101192474, 0.015099858865141869, -0.0135476840659976, 0.04636160284280777, -0.006176723632961512, -0.015091857872903347, 0.05498325079679489, -0.028042510151863098, -0.021202031522989273, 0.06019313633441925, -0.04470140114426613, -0.02932622656226158]","[0.0, 0.0, 1.181, 0.0, 0.0, 0.0, 0.0, 0.9586999999999999, 1.1589, 0.0, 0.0, 0.0, 0.0, 0.5784499999999999, 0.0, 0.0, 0.0, 0.0, -1.6674000000000002, 0.0, 0.0, 0.0, 0.0, 1.4084249999999998, -1.6909, 0.0, 0.0, 0.0, 0.0, 1.66765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[0.008998565375804901, 0.09668246656656265, 0.0011655670823529363, -0.02051859349012375, 0.07282375544309616, -0.0042458800598979, -0.040779851377010345, 0.0482792891561985, -0.006323655601590872, -0.061300307512283325, 0.016925835981965065, -0.011696241796016693, -0.07857394218444824, -0.007293437607586384, -0.008677068166434765, -0.02943098545074463, 0.0007853677961975336, 0.007651116698980331, -0.037436727434396744, -0.029070451855659485, 0.0007732426165603101, -0.045741405338048935, -0.04710463806986809, -0.0072348215617239475, -0.057403579354286194, -0.06118147075176239, -0.029494021087884903, -0.005337453447282314, -0.004558700602501631, 0.006875219754874706, -0.00389698869548738, -0.04538900405168533, -0.00020255442359484732, -0.007962904870510101, -0.0695926770567894, -0.014795772731304169, -0.013513417914509773, -0.0920277014374733, -0.03081362135708332, 0.019755704328417778, -0.0020493988413363695, -0.004781530238687992, 0.02212521992623806, -0.03434224799275398, -0.01144561916589737, 0.02123890072107315, -0.05921020731329918, -0.02007431723177433, 0.02113233134150505, -0.08226858079433441, -0.02941790036857128, 0.03274933621287346, 0.014126220718026161, -0.014864119701087475, 0.046072978526353836, -0.006838034838438034, -0.01630791649222374, 0.054600756615400314, -0.02928943745791912, -0.02162802591919899, 0.0595334954559803, -0.046118661761283875, -0.028902899473905563]","[0.0, 0.0, 1.1812, 0.0, 0.0, 0.0, 0.0, 0.953975, 1.15875, 0.0, 0.0, 0.0, 0.0, 0.5794, 0.0, 0.0, 0.0, 0.0, -1.66865, 0.0, 0.0, 0.0, 0.0, 1.4079000000000002, -1.690225, 0.0, 0.0, 0.0, 0.0, 1.6505999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[0.008254501968622208, 0.09768447279930115, 0.00033651365083642304, -0.020739685744047165, 0.07286438345909119, -0.0036946050822734833, -0.04056443274021149, 0.04916433244943619, -0.003781223203986883, -0.06149038299918175, 0.018084509298205376, -0.006514579989016056, -0.07921121269464493, -0.005234871059656143, -0.0021424584556370974, -0.028681106865406036, 0.0005385889671742916, 0.009221989661455154, -0.036713749170303345, -0.028219301253557205, 0.0021132694091647863, -0.04598438739776611, -0.0449543260037899, -0.007028425578027964, -0.05931534618139267, -0.05628005787730217, -0.029238354414701462, -0.005153857171535492, -0.0047346134670078754, 0.0068050287663936615, -0.003644876880571246, -0.045132122933864594, 0.0008693051058799028, -0.008145134896039963, -0.06908155232667923, -0.014336471445858479, -0.01410749088972807, -0.09232524037361145, -0.02987450733780861, 0.01924658939242363, -0.0017035307828336954, -0.005779539700597525, 0.02147539332509041, -0.03389202058315277, -0.012434841133654118, 0.020803198218345642, -0.0583377331495285, -0.02095424383878708, 0.020793119445443153, -0.08213555812835693, -0.030568024143576622, 0.03163807466626167, 0.014613238163292408, -0.016757849603891373, 0.045153405517339706, -0.006559413857758045, -0.017978975549340248, 0.05374651774764061, -0.029181821271777153, -0.023633567616343498, 0.05829298868775368, -0.04622188210487366, -0.03071645461022854]","[0.0, 0.0, 1.1824249999999998, 0.0, 0.0, 0.0, 0.0, 0.955375, 1.1599, 0.0, 0.0, 0.0, 0.0, 0.5806500000000001, 0.0, 0.0, 0.0, 0.0, -1.6687750000000001, 0.0, 0.0, 0.0, 0.0, 1.421325, -1.6925249999999998, 0.0, 0.0, 0.0, 0.0, 1.6413499999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[0.007381554692983627, 0.098019540309906, -0.0012898523127660155, -0.02108830213546753, 0.07266532629728317, -0.003982105758041143, -0.04086622595787048, 0.04920110106468201, -0.001608582097105682, -0.061798110604286194, 0.0179725494235754, -0.0011210956145077944, -0.07922080159187317, -0.0045900652185082436, 0.006073789205402136, -0.028344862163066864, 7.771817035973072e-05, 0.010345341637730598, -0.03551625832915306, -0.027409182861447334, 0.00228747702203691, -0.04465029761195183, -0.04207402095198631, -0.007535245735198259, -0.05890098959207535, -0.05071490257978439, -0.03033454902470112, -0.004793579690158367, -0.004749065265059471, 0.0067148953676223755, -0.0026852013543248177, -0.04507908970117569, 0.0012152367271482944, -0.007125012576580048, -0.06874272972345352, -0.013778429478406906, -0.012713946402072906, -0.09172066301107407, -0.029122117906808853, 0.018882976844906807, -0.00163055129814893, -0.0065935286693274975, 0.02142155170440674, -0.03424078971147537, -0.012292163446545601, 0.0204565841704607, -0.05842049419879913, -0.021235192194581032, 0.021041851490736008, -0.08278830349445343, -0.030781814828515053, 0.031002677977085114, 0.014500451274216175, -0.018408747389912605, 0.04424363002181053, -0.0071356939151883125, -0.018750127404928207, 0.053341735154390335, -0.02981732413172722, -0.024057405069470406, 0.05814725533127785, -0.047151029109954834, -0.030971968546509743]","[0.0, 0.0, 1.1836333333333335, 0.0, 0.0, 0.0, 0.0, 0.9462, 1.1586333333333332, 0.0, 0.0, 0.0, 0.0, 0.5839, 0.0, 0.0, 0.0, 0.0, -1.6709666666666667, 0.0, 0.0, 0.0, 0.0, 1.4324000000000001, -1.7204333333333333, 0.0, 0.0, 0.0, 0.0, 1.6617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[0.005075066350400448, 0.09871073812246323, -0.00287589430809021, -0.022865287959575653, 0.07255205512046814, -0.0057237409055233, -0.041199687868356705, 0.04941404238343239, -0.0029545987490564585, -0.061696071177721024, 0.018596850335597992, -0.0011644639307633042, -0.07927965372800827, -0.0031530549749732018, 0.005720258224755526, -0.027538781985640526, 0.00045223417691886425, 0.010852633975446224, -0.03417668119072914, -0.02607114426791668, 0.0015930020017549396, -0.04362291842699051, -0.03878585249185562, -0.010653043165802956, -0.05876648798584938, -0.04313939809799194, -0.03452162817120552, -0.0045632245019078255, -0.004777389578521252, 0.0065769306384027, -0.0021324942354112864, -0.045540355145931244, 0.002444033045321703, -0.007536144927144051, -0.06868791580200195, -0.012652474455535412, -0.01442387979477644, -0.09239556640386581, -0.028001822531223297, 0.018526144325733185, -0.0017840940272435546, -0.006564559880644083, 0.021641556173563004, -0.03454040735960007, -0.011496557854115963, 0.02032437175512314, -0.05884594842791557, -0.02014629729092121, 0.01998506486415863, -0.08320844918489456, -0.030701972544193268, 0.02984563820064068, 0.014309949241578579, -0.018528789281845093, 0.04389028623700142, -0.007506681606173515, -0.018752306699752808, 0.054042816162109375, -0.0303150936961174, -0.023524221032857895, 0.05778403952717781, -0.04855562746524811, -0.030884314328432083]","[0.0, 0.0, 1.180575, 0.0, 0.0, 0.0, 0.0, 0.950025, 1.1576499999999998, 0.0, 0.0, 0.0, 0.0, 0.5849, 0.0, 0.0, 0.0, 0.0, -1.6723249999999998, 0.0, 0.0, 0.0, 0.0, 1.4071500000000001, -1.694, 0.0, 0.0, 0.0, 0.0, 1.66595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[0.003522366750985384, 0.09823478758335114, -0.0033720380160957575, -0.023770449683070183, 0.07232766598463058, -0.00610919576138258, -0.04174576327204704, 0.04894130676984787, -0.004517725203186274, -0.061978574842214584, 0.018503397703170776, -0.0029369310941547155, -0.0791918933391571, -0.0036929063498973846, 0.0033881268464028835, -0.02701391838490963, 0.0003219342324882746, 0.010726937092840672, -0.03380288928747177, -0.02580527774989605, 0.00042799426591955125, -0.04405374079942703, -0.035476718097925186, -0.013318317010998726, -0.061068981885910034, -0.035806331783533096, -0.038411661982536316, -0.004242134280502796, -0.004687703214585781, 0.006459538359194994, -0.0017073187045753002, -0.04515043646097183, 0.002259195549413562, -0.008636163547635078, -0.06819605827331543, -0.013704138807952404, -0.016055850312113762, -0.09138543158769608, -0.03039790503680706, 0.018091997131705284, -0.0017979020485654473, -0.006432104855775833, 0.021132925525307655, -0.034660790115594864, -0.010503391735255718, 0.019170695915818214, -0.059157174080610275, -0.02010211907327175, 0.019118841737508774, -0.08448722213506699, -0.031028101220726967, 0.02895817533135414, 0.01392945647239685, -0.01844150759279728, 0.04244701936841011, -0.0081104077398777, -0.018567057326436043, 0.05252820625901222, -0.03067719005048275, -0.02325989492237568, 0.05664493143558502, -0.04952520877122879, -0.030755963176488876]","[0.0, 0.0, 1.1812666666666667, 0.0, 0.0, 0.0, 0.0, 0.9529333333333333, 1.1586999999999998, 0.0, 0.0, 0.0, 0.0, 0.5824333333333332, 0.0, 0.0, 0.0, 0.0, -1.669266666666667, 0.0, 0.0, 0.0, 0.0, 1.4222000000000001, -1.7070666666666667, 0.0, 0.0, 0.0, 0.0, 1.6324333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
