,mphands_data,eit_data
0,"[0.008609004318714142, 0.0948793813586235, 0.015432523563504219, -0.018457192927598953, 0.07242440432310104, 0.009365678764879704, -0.03701557219028473, 0.050175510346889496, 0.004030326381325722, -0.05620425194501877, 0.022789863869547844, -0.0020710767712444067, -0.07402892410755157, 0.0010126479901373386, -0.003284405916929245, -0.027687206864356995, -0.0010452442802488804, 0.008602231740951538, -0.033820848912000656, -0.031287699937820435, 0.0031438693404197693, -0.04180986061692238, -0.05097241699695587, -0.004477549809962511, -0.05286930873990059, -0.06769460439682007, -0.024874495342373848, -0.0048518492840230465, -0.005254899617284536, 0.006380454637110233, -0.004124401602894068, -0.04459914192557335, -0.003500531893223524, -0.009867362678050995, -0.066989965736866, -0.017598411068320274, -0.01649300381541252, -0.08825993537902832, -0.033182911574840546, 0.018190495669841766, -0.0012476715492084622, -0.005594554822891951, 0.017903165891766548, -0.03146059811115265, -0.01482350006699562, 0.017257824540138245, -0.0549195371568203, -0.02435632422566414, 0.017219245433807373, -0.07749469578266144, -0.03472009673714638, 0.029424022883176804, 0.017167406156659126, -0.014241660013794899, 0.041480403393507004, -0.005478241480886936, -0.016883205622434616, 0.04711904749274254, -0.027616040781140327, -0.022860359400510788, 0.05138588324189186, -0.045334748923778534, -0.030454332008957863]","[0.0, 0.0, 0.2919, 0.0, 0.0, 0.0, 0.0, 0.3213, 0.0524, 0.0, 0.0, 0.0, 0.0, 0.544, 0.0, 0.0, 0.0, 0.0, -1.9204, 0.0, 0.0, 0.0, 0.0, 3.01, -1.9678, 0.0, 0.0, 0.0, 0.0, 1.8154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[0.008557267487049103, 0.09485157579183578, 0.01740357093513012, -0.018533695489168167, 0.07244770973920822, 0.011428914032876492, -0.036822609603405, 0.0504918247461319, 0.006301697343587875, -0.05610757693648338, 0.02361925132572651, 0.00010030041448771954, -0.07395283877849579, 0.0024942648597061634, -0.0017655446426942945, -0.027533791959285736, -0.0015231771394610405, 0.00897058006376028, -0.03370613977313042, -0.031636204570531845, 0.003736301092430949, -0.04130156338214874, -0.051401589065790176, -0.003922297619283199, -0.052416566759347916, -0.06803078204393387, -0.02402779646217823, -0.004626381676644087, -0.005400742869824171, 0.00616814661771059, -0.0043028309009969234, -0.044383320957422256, -0.0037729241885244846, -0.010007506236433983, -0.06676789373159409, -0.017862355336546898, -0.016397859901189804, -0.08819735795259476, -0.03365861997008324, 0.01800082065165043, -0.0009316228097304702, -0.005836650263518095, 0.018111923709511757, -0.03082398883998394, -0.015456713736057281, 0.017442870885133743, -0.054327961057424545, -0.02528662234544754, 0.01754218339920044, -0.07701187580823898, -0.03552861884236336, 0.029011070728302002, 0.017663830891251564, -0.014312738552689552, 0.041839879006147385, -0.004663566127419472, -0.017170069739222527, 0.04738817363977432, -0.026902778074145317, -0.02328711375594139, 0.05156776309013367, -0.04491515830159187, -0.03074752911925316]","[0.0, 0.0, 0.29203333333333337, 0.0, 0.0, 0.0, 0.0, 0.3212333333333333, 0.052366666666666666, 0.0, 0.0, 0.0, 0.0, 0.5438666666666667, 0.0, 0.0, 0.0, 0.0, -1.9151666666666667, 0.0, 0.0, 0.0, 0.0, 2.9965333333333337, -1.9915, 0.0, 0.0, 0.0, 0.0, 1.8175999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[0.008741755038499832, 0.09492631256580353, 0.016019942238926888, -0.018534783273935318, 0.07252523303031921, 0.009985643438994884, -0.03730619326233864, 0.05054590106010437, 0.0048850043676793575, -0.05652535706758499, 0.023481685668230057, -0.0009425757452845573, -0.07469626516103745, 0.0018284856341779232, -0.002313851146027446, -0.028058117255568504, -0.0009834968950599432, 0.008898526430130005, -0.03400929272174835, -0.03144225850701332, 0.0035482931416481733, -0.04178726673126221, -0.05114830657839775, -0.004195208661258221, -0.05276551842689514, -0.06774256378412247, -0.02428116835653782, -0.004861294757574797, -0.005338519811630249, 0.0062498352490365505, -0.0044647399336099625, -0.04461309686303139, -0.003402288304641843, -0.010175749659538269, -0.06708116084337234, -0.017810244113206863, -0.016789626330137253, -0.08825863897800446, -0.033640485256910324, 0.018216196447610855, -0.001163556706160307, -0.005803840700536966, 0.01775515452027321, -0.03111615777015686, -0.015088147483766079, 0.01719513162970543, -0.05455944687128067, -0.025204936042428017, 0.017693374305963516, -0.07716474682092667, -0.036025796085596085, 0.02956722304224968, 0.017095297574996948, -0.014320502057671547, 0.04163319617509842, -0.005527912639081478, -0.01711372472345829, 0.046944085508584976, -0.027697758749127388, -0.023326491937041283, 0.05131883919239044, -0.045041825622320175, -0.031169496476650238]","[0.0, 0.0, 0.2921, 0.0, 0.0, 0.0, 0.0, 0.321175, 0.0524, 0.0, 0.0, 0.0, 0.0, 0.54355, 0.0, 0.0, 0.0, 0.0, -1.90995, 0.0, 0.0, 0.0, 0.0, 2.999, -1.96305, 0.0, 0.0, 0.0, 0.0, 1.819625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.00864157360047102, 0.0950249508023262, 0.015475891530513763, -0.019140370190143585, 0.07247432321310043, 0.009247228503227234, -0.037707116454839706, 0.050360582768917084, 0.002955089323222637, -0.056577377021312714, 0.02292492613196373, -0.003968663979321718, -0.07493094354867935, 0.0010895566083490849, -0.005996675696223974, -0.028143106028437614, -0.0011481423862278461, 0.00833206158131361, -0.03412175178527832, -0.03169495612382889, 0.0029096591752022505, -0.04170193150639534, -0.051357999444007874, -0.0048833140172064304, -0.05312556400895119, -0.06818952411413193, -0.02544208988547325, -0.004785625264048576, -0.005233336705714464, 0.006265610922127962, -0.0039473338983953, -0.044808581471443176, -0.0034711691550910473, -0.009609094820916653, -0.06737583875656128, -0.01782754622399807, -0.015974953770637512, -0.08860195428133011, -0.03433239832520485, 0.018358109518885612, -0.0012726914137601852, -0.005406233947724104, 0.018694575875997543, -0.03133682906627655, -0.014376149512827396, 0.018046589568257332, -0.05495394021272659, -0.02470598928630352, 0.0189498383551836, -0.07755274325609207, -0.03540601581335068, 0.02993634343147278, 0.01706065982580185, -0.01371715310961008, 0.041924890130758286, -0.005664816126227379, -0.016425607725977898, 0.0471576526761055, -0.028007391840219498, -0.02282015234231949, 0.05125700682401657, -0.045333340764045715, -0.030919887125492096]","[0.0, 0.0, 0.2927666666666667, 0.0, 0.0, 0.0, 0.0, 0.3216, 0.05266666666666666, 0.0, 0.0, 0.0, 0.0, 0.5444333333333333, 0.0, 0.0, 0.0, 0.0, -1.9083666666666665, 0.0, 0.0, 0.0, 0.0, 3.0101999999999998, -1.9808000000000001, 0.0, 0.0, 0.0, 0.0, 1.8172666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[0.008198198862373829, 0.09567101299762726, 0.015150154940783978, -0.01931501179933548, 0.07298000156879425, 0.009253328666090965, -0.037953708320856094, 0.05087636038661003, 0.0040790000930428505, -0.057133547961711884, 0.023338153958320618, -0.0007790880626998842, -0.07565098255872726, 0.0009723040275275707, -0.0009707888821139932, -0.02810288593173027, -0.0010840354952961206, 0.008915137499570847, -0.034051861613988876, -0.03202344849705696, 0.00403027655556798, -0.041966576129198074, -0.052029289305210114, -0.003758162958547473, -0.05336153507232666, -0.06934311240911484, -0.024094238877296448, -0.004818199668079615, -0.005281927529722452, 0.006413914728909731, -0.004001658409833908, -0.045057252049446106, -0.0033507193438708782, -0.009693168103694916, -0.06790357083082199, -0.01737983711063862, -0.015999186784029007, -0.08954279869794846, -0.03377198055386543, 0.01844838820397854, -0.0012328776065260172, -0.005736939143389463, 0.01863606460392475, -0.031546175479888916, -0.014739013276994228, 0.01831916719675064, -0.05559251457452774, -0.02467757649719715, 0.01922496035695076, -0.07856252044439316, -0.03539271280169487, 0.02973705530166626, 0.017242657020688057, -0.01446455717086792, 0.041929420083761215, -0.005487869028002024, -0.017322320491075516, 0.04727870225906372, -0.02800673060119152, -0.02349613606929779, 0.05166458711028099, -0.045785464346408844, -0.03157728537917137]","[0.0, 0.0, 0.292825, 0.0, 0.0, 0.0, 0.0, 0.32045, 0.052399999999999995, 0.0, 0.0, 0.0, 0.0, 0.543775, 0.0, 0.0, 0.0, 0.0, -1.907275, 0.0, 0.0, 0.0, 0.0, 2.98735, -1.973925, 0.0, 0.0, 0.0, 0.0, 1.8182999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[0.008025244809687138, 0.0953180342912674, 0.015539363957941532, -0.019529806450009346, 0.07250434160232544, 0.009227849543094635, -0.03794318437576294, 0.0504285953938961, 0.00424590241163969, -0.057229481637477875, 0.022501379251480103, -0.000375873118173331, -0.07557905465364456, 0.0007431963458657265, -0.0005888589075766504, -0.028277501463890076, -0.0014121520798653364, 0.008422588929533958, -0.0339878611266613, -0.03247135505080223, 0.0032770284451544285, -0.04141569882631302, -0.05219271779060364, -0.004497480113059282, -0.05225672945380211, -0.06931103020906448, -0.02470095083117485, -0.004905362147837877, -0.005197032354772091, 0.006377190817147493, -0.004251111298799515, -0.04475913196802139, -0.0034214602783322334, -0.009499704465270042, -0.06749158352613449, -0.01746831275522709, -0.015796136111021042, -0.08877430111169815, -0.03374302759766579, 0.018739406019449234, -0.0008445258717983961, -0.005397330038249493, 0.01858694478869438, -0.031431954354047775, -0.014174088835716248, 0.018164239823818207, -0.055453214794397354, -0.023651549592614174, 0.019422665238380432, -0.07831508666276932, -0.03408025577664375, 0.0300973579287529, 0.017426757141947746, -0.013600592501461506, 0.04196605086326599, -0.0052002910524606705, -0.016209779307246208, 0.04757832735776901, -0.02745329961180687, -0.022224927321076393, 0.051833122968673706, -0.04505591094493866, -0.029730375856161118]","[0.0, 0.0, 0.29207500000000003, 0.0, 0.0, 0.0, 0.0, 0.32215, 0.05437500000000001, 0.0, 0.0, 0.0, 0.0, 0.5448999999999999, 0.0, 0.0, 0.0, 0.0, -1.936825, 0.0, 0.0, 0.0, 0.0, 3.009575, -1.96375, 0.0, 0.0, 0.0, 0.0, 1.8201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[0.00825443584471941, 0.09520284831523895, 0.01688995212316513, -0.019478682428598404, 0.072682224214077, 0.010081693530082703, -0.037999898195266724, 0.05091164633631706, 0.004066217690706253, -0.05717897415161133, 0.02314118668437004, -0.0023744646459817886, -0.07572164386510849, 0.000852502416819334, -0.004186533857136965, -0.02831137739121914, -0.0011068317107856274, 0.008529999293386936, -0.03413943573832512, -0.03214449808001518, 0.003335734363645315, -0.04175656661391258, -0.05177205801010132, -0.004196375608444214, -0.053067151457071304, -0.06883814930915833, -0.02431124821305275, -0.0048674955032765865, -0.0052328817546367645, 0.0062832399271428585, -0.003965628333389759, -0.044911421835422516, -0.0033730280119925737, -0.00926345307379961, -0.06785453855991364, -0.017169160768389702, -0.01562304887920618, -0.08928020298480988, -0.03289704769849777, 0.01868647150695324, -0.0011762491194531322, -0.005483553279191256, 0.018958983942866325, -0.03150856867432594, -0.014293634332716465, 0.018590565770864487, -0.055406831204891205, -0.024044672027230263, 0.019723156467080116, -0.07811525464057922, -0.03433745354413986, 0.030233217403292656, 0.01710495352745056, -0.013627351261675358, 0.04228980466723442, -0.005370745435357094, -0.016350414603948593, 0.047910988330841064, -0.02765553817152977, -0.02221008390188217, 0.052392974495887756, -0.04484659805893898, -0.02984066680073738]","[0.0, 0.0, 0.2925666666666667, 0.0, 0.0, 0.0, 0.0, 0.32136666666666663, 0.055299999999999995, 0.0, 0.0, 0.0, 0.0, 0.5440333333333333, 0.0, 0.0, 0.0, 0.0, -1.9134666666666666, 0.0, 0.0, 0.0, 0.0, 2.9984, -1.9654999999999998, 0.0, 0.0, 0.0, 0.0, 1.8176666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[0.007547371089458466, 0.09522309899330139, 0.015068537555634975, -0.01981169730424881, 0.07262986898422241, 0.008450562134385109, -0.03823736310005188, 0.05063851177692413, 0.002704522805288434, -0.05705786868929863, 0.023147325962781906, -0.0029851167928427458, -0.07588915526866913, 0.001181645318865776, -0.003590997774153948, -0.028246218338608742, -0.0009885572362691164, 0.008338266983628273, -0.03449871391057968, -0.03146897628903389, 0.0029651224613189697, -0.042094405740499496, -0.0508890263736248, -0.004757468122988939, -0.05336451530456543, -0.06782542914152145, -0.025233183056116104, -0.004847759380936623, -0.005103702656924725, 0.006438424810767174, -0.0033564986661076546, -0.045083899050951004, -0.003102141199633479, -0.008778134360909462, -0.06785255670547485, -0.017256230115890503, -0.014891617000102997, -0.08950810879468918, -0.033309850841760635, 0.018873250111937523, -0.0013882420025765896, -0.0053149014711380005, 0.019203921779990196, -0.031779948621988297, -0.014090958051383495, 0.018804719671607018, -0.055593185126781464, -0.02389501966536045, 0.01960272714495659, -0.07866113632917404, -0.03475158289074898, 0.030254600569605827, 0.01685221493244171, -0.013926645740866661, 0.04241114854812622, -0.005670756567269564, -0.01647140458226204, 0.048714779317379, -0.027786608785390854, -0.022277522832155228, 0.0529051199555397, -0.044772643595933914, -0.03021133691072464]","[0.0, 0.0, 0.2925333333333333, 0.0, 0.0, 0.0, 0.0, 0.3221333333333333, 0.05246666666666666, 0.0, 0.0, 0.0, 0.0, 0.5435666666666666, 0.0, 0.0, 0.0, 0.0, -1.9086333333333332, 0.0, 0.0, 0.0, 0.0, 3.0175, -1.9614666666666667, 0.0, 0.0, 0.0, 0.0, 1.8004666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[0.008330341428518295, 0.0950474888086319, 0.015291678719222546, -0.01933145336806774, 0.07280537486076355, 0.009458126500248909, -0.03811373561620712, 0.050837334245443344, 0.004764426499605179, -0.05752793326973915, 0.023283667862415314, -6.164136721054092e-05, -0.07638730853796005, 0.0015350566245615482, 0.00011853012256324291, -0.028228366747498512, -0.0011693185660988092, 0.008709442801773548, -0.03423165902495384, -0.03165113180875778, 0.0033175426069647074, -0.04182584583759308, -0.05087869614362717, -0.004406108055263758, -0.05335414782166481, -0.06731398403644562, -0.025341592729091644, -0.004884261637926102, -0.005123299080878496, 0.006515275686979294, -0.0033953532110899687, -0.04523266851902008, -0.0034374205861240625, -0.008611885830760002, -0.06768219918012619, -0.0174856074154377, -0.014516405761241913, -0.08894418925046921, -0.033432889729738235, 0.01866781711578369, -0.0012351139448583126, -0.005708063021302223, 0.019096285104751587, -0.031908631324768066, -0.01474397350102663, 0.018822524696588516, -0.05537652224302292, -0.024569222703576088, 0.020092623308300972, -0.07804758846759796, -0.035198815166950226, 0.029916347935795784, 0.017049230635166168, -0.014283171854913235, 0.04240243881940842, -0.005448203533887863, -0.017209362238645554, 0.04873666912317276, -0.027299925684928894, -0.02307853102684021, 0.053330741822719574, -0.04413050413131714, -0.030442964285612106]","[0.0, 0.0, 0.291825, 0.0, 0.0, 0.0, 0.0, 0.32145, 0.057100000000000005, 0.0, 0.0, 0.0, 0.0, 0.543675, 0.0, 0.0, 0.0, 0.0, -1.91165, 0.0, 0.0, 0.0, 0.0, 3.011375, -1.9472749999999999, 0.0, 0.0, 0.0, 0.0, 1.8020999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[0.007682214956730604, 0.09554672241210938, 0.015714025124907494, -0.019749633967876434, 0.07279438525438309, 0.009428509511053562, -0.038185153156518936, 0.05100206658244133, 0.0039774151518940926, -0.05753317475318909, 0.02326737530529499, -0.0013473983854055405, -0.07619436085224152, 0.0014572413638234138, -0.0019167241407558322, -0.02811581641435623, -0.0008294540457427502, 0.008515113033354282, -0.03433587774634361, -0.031710751354694366, 0.0031900634057819843, -0.041851647198200226, -0.05099501833319664, -0.004630264360457659, -0.05334724113345146, -0.06782204657793045, -0.024822164326906204, -0.004950318951159716, -0.005168975330889225, 0.006368298549205065, -0.003430042415857315, -0.04514140635728836, -0.0034505147486925125, -0.008492551743984222, -0.06771983951330185, -0.01757960580289364, -0.014387263916432858, -0.08920719474554062, -0.033336300402879715, 0.018768763169646263, -0.0013729415368288755, -0.005394049920141697, 0.01927625574171543, -0.03153609111905098, -0.014814995229244232, 0.01903451234102249, -0.05517929792404175, -0.024973522871732712, 0.020096927881240845, -0.07747391611337662, -0.035500042140483856, 0.030196020379662514, 0.016927072778344154, -0.013850917108356953, 0.04304395616054535, -0.005178777035325766, -0.01681765355169773, 0.04934844374656677, -0.027386760339140892, -0.022758135572075844, 0.05425403267145157, -0.04456073045730591, -0.030640536919236183]","[0.0, 0.0, 0.29200000000000004, 0.0, 0.0, 0.0, 0.0, 0.32163333333333327, 0.053, 0.0, 0.0, 0.0, 0.0, 0.5454, 0.0, 0.0, 0.0, 0.0, -1.9085, 0.0, 0.0, 0.0, 0.0, 3.0108, -1.9560333333333333, 0.0, 0.0, 0.0, 0.0, 1.8171333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
