,mphands_data,eit_data
0,"[-0.013844018802046776, 0.09327778965234756, 0.00836010929197073, -0.03656556457281113, 0.06408772617578506, 0.003765034954994917, -0.051860641688108444, 0.04141769930720329, -0.0006832839571870863, -0.06677893549203873, 0.014048273675143719, -0.009520369581878185, -0.077499620616436, -0.009099136106669903, -0.009611524641513824, -0.026313602924346924, -0.006297290325164795, 0.01018774975091219, -0.026424353942275047, -0.032721519470214844, -0.0008369404822587967, -0.03414325416088104, -0.04346141591668129, -0.013947494328022003, -0.05233501270413399, -0.04501920938491821, -0.04238765314221382, -0.002483014017343521, -0.0047873822040855885, 0.006846246775239706, 0.004462416283786297, -0.04154825210571289, -0.004593210760504007, -0.003555020783096552, -0.06123792380094528, -0.02377048321068287, -0.016312379390001297, -0.07701998203992844, -0.04480193555355072, 0.018659016117453575, 0.0013983682729303837, -0.006320432294160128, 0.025211675092577934, -0.026563288643956184, -0.01609407737851143, 0.020793501287698746, -0.04741495102643967, -0.03477177768945694, 0.010129965841770172, -0.06523481011390686, -0.053832221776247025, 0.026370689272880554, 0.01936298981308937, -0.018335610628128052, 0.0402057021856308, 0.0011130725033581257, -0.0219484344124794, 0.04639914259314537, -0.015971845015883446, -0.03339219465851784, 0.04290371760725975, -0.029210133478045464, -0.05084814503788948]","[0.0, 0.0, 0.25742000000000004, 0.0, 0.0, 0.0, 0.0, 0.33984, 0.04764, 0.0, 0.0, 0.0, 0.0, 0.59978, 0.0, 0.0, 0.0, 0.0, -1.94188, 0.0, 0.0, 0.0, 0.0, -2.67162, -1.97294, 0.0, 0.0, 0.0, 0.0, 1.72258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[-0.012792089022696018, 0.09362651407718658, 0.007705847267061472, -0.03641187772154808, 0.06429363787174225, 0.0026626931503415108, -0.051542654633522034, 0.04155908152461052, -0.0023547254968434572, -0.06668198108673096, 0.014235177077353, -0.011527513153851032, -0.07715871930122375, -0.008513176813721657, -0.011853352189064026, -0.026595063507556915, -0.006111509166657925, 0.009559733793139458, -0.02683277614414692, -0.03264329954981804, -0.0013389018131420016, -0.034513577818870544, -0.04350728169083595, -0.014229157008230686, -0.05231655016541481, -0.04565068334341049, -0.04253770038485527, -0.0025955240707844496, -0.004670932423323393, 0.006822158582508564, 0.0041610803455114365, -0.04151282459497452, -0.004432220011949539, -0.0036492780782282352, -0.06070118024945259, -0.023549120873212814, -0.016351597383618355, -0.07601273059844971, -0.04535146430134773, 0.018970893695950508, 0.0015752905746921897, -0.0060715703293681145, 0.02534390240907669, -0.02671617828309536, -0.015936223790049553, 0.02065901644527912, -0.0472135953605175, -0.03492092713713646, 0.010413920506834984, -0.06479032337665558, -0.05400974676012993, 0.027461407706141472, 0.019114457070827484, -0.017741438001394272, 0.04099781811237335, 5.659181624650955e-06, -0.020505886524915695, 0.04726174473762512, -0.01770833693444729, -0.031301893293857574, 0.043342363089323044, -0.03199363499879837, -0.048069652169942856]","[0.0, 0.0, 0.25685, 0.0, 0.0, 0.0, 0.0, 0.34025, 0.04775, 0.0, 0.0, 0.0, 0.0, 0.60075, 0.0, 0.0, 0.0, 0.0, -1.9279, 0.0, 0.0, 0.0, 0.0, -3.0261, -1.98155, 0.0, 0.0, 0.0, 0.0, 1.73025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[-0.012734842486679554, 0.0936683788895607, 0.008524341508746147, -0.036071546375751495, 0.06451351940631866, 0.003122515743598342, -0.05106484517455101, 0.04186456650495529, -0.0009408940677531064, -0.06654302030801773, 0.014416991733014584, -0.00960436463356018, -0.07749760895967484, -0.008260980248451233, -0.00955354142934084, -0.02645331434905529, -0.005800286307930946, 0.009642825461924076, -0.02722533792257309, -0.03233408182859421, -0.0013899834593757987, -0.0347774364054203, -0.04345257580280304, -0.014316894114017487, -0.05253138393163681, -0.045347146689891815, -0.04253171384334564, -0.002633444732055068, -0.004575181752443314, 0.0067334589548408985, 0.004001453518867493, -0.04152510315179825, -0.004138437565416098, -0.004034792073071003, -0.0609276257455349, -0.02354457974433899, -0.01670476421713829, -0.07644625008106232, -0.044926904141902924, 0.018933044746518135, 0.001397679909132421, -0.005995077546685934, 0.02487911842763424, -0.027172347530722618, -0.016124380752444267, 0.020209675654768944, -0.04734266549348831, -0.03518887981772423, 0.010101164691150188, -0.0649469643831253, -0.054321277886629105, 0.027131017297506332, 0.019087301567196846, -0.017786068841814995, 0.040911272168159485, -0.0004551112651824951, -0.02056570164859295, 0.048066359013319016, -0.01806105673313141, -0.03121984750032425, 0.04503192752599716, -0.03284086659550667, -0.04799601063132286]","[0.0, 0.0, 0.25725999999999993, 0.0, 0.0, 0.0, 0.0, 0.34009999999999996, 0.04652, 0.0, 0.0, 0.0, 0.0, 0.5995999999999999, 0.0, 0.0, 0.0, 0.0, -1.92048, 0.0, 0.0, 0.0, 0.0, -2.0073199999999995, -1.96038, 0.0, 0.0, 0.0, 0.0, 1.74018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[-0.012885544449090958, 0.09388896077871323, 0.006025254726409912, -0.03613688424229622, 0.06455273926258087, 0.0015505457995459437, -0.051202163100242615, 0.04170985147356987, -0.0018240788485854864, -0.06629535555839539, 0.013371700420975685, -0.008872700855135918, -0.07771757245063782, -0.008933860808610916, -0.007869452238082886, -0.02641431614756584, -0.005346078425645828, 0.009661221876740456, -0.02638770453631878, -0.03221498429775238, -0.0011702822521328926, -0.03374309465289116, -0.04227431118488312, -0.014996337704360485, -0.051838476210832596, -0.04137812554836273, -0.04302128404378891, -0.002802435541525483, -0.004577832296490669, 0.00681465957313776, 0.0035580999683588743, -0.04170818626880646, -0.004572191275656223, -0.004725032951682806, -0.06121138855814934, -0.023468179628252983, -0.01708902418613434, -0.07704894989728928, -0.0450802780687809, 0.019028132781386375, 0.0013493909500539303, -0.006179405376315117, 0.024325335398316383, -0.02738007716834545, -0.01582309789955616, 0.01948397606611252, -0.04838506877422333, -0.03408744931221008, 0.009929239749908447, -0.06623052805662155, -0.05282743647694588, 0.02740301564335823, 0.018664192408323288, -0.017949098721146584, 0.041225746273994446, -0.0018352041952311993, -0.02058511972427368, 0.04885178059339523, -0.019716668874025345, -0.030394861474633217, 0.04642250016331673, -0.03589173033833504, -0.04606332257390022]","[0.0, 0.0, 0.25685, 0.0, 0.0, 0.0, 0.0, 0.34009999999999996, 0.047049999999999995, 0.0, 0.0, 0.0, 0.0, 0.5987, 0.0, 0.0, 0.0, 0.0, -1.9199, 0.0, 0.0, 0.0, 0.0, -1.8767999999999998, -1.98945, 0.0, 0.0, 0.0, 0.0, 1.742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[-0.012900521978735924, 0.09402774274349213, 0.010468990541994572, -0.036088116466999054, 0.06536867469549179, 0.004548225086182356, -0.05144979804754257, 0.04281521216034889, -0.0006130058318376541, -0.06615729629993439, 0.01497073657810688, -0.010870702564716339, -0.0768914520740509, -0.008060348220169544, -0.012999198399484158, -0.026440145447850227, -0.00589795084670186, 0.009140430018305779, -0.02532901242375374, -0.032081060111522675, -0.0025040165055543184, -0.033295705914497375, -0.040630001574754715, -0.016734348610043526, -0.05139627680182457, -0.03607703372836113, -0.04475204274058342, -0.002698505064472556, -0.0045261685736477375, 0.006269525736570358, 0.003112384118139744, -0.04191036894917488, -0.005053654778748751, -0.005733282770961523, -0.06142239272594452, -0.024389851838350296, -0.018524345010519028, -0.07650254666805267, -0.04582061618566513, 0.01920970156788826, 0.0013124626129865646, -0.005894376430660486, 0.0240040123462677, -0.027691874653100967, -0.015438714995980263, 0.019153771921992302, -0.048417817801237106, -0.03459109738469124, 0.008193619549274445, -0.06606505811214447, -0.05413639545440674, 0.027796534821391106, 0.018970344215631485, -0.016809577122330666, 0.041058678179979324, -0.002336942357942462, -0.019364923238754272, 0.047709763050079346, -0.020851630717515945, -0.029781263321638107, 0.044431570917367935, -0.03660903871059418, -0.04535948485136032]","[0.0, 0.0, 0.25734999999999997, 0.0, 0.0, 0.0, 0.0, 0.340875, 0.047150000000000004, 0.0, 0.0, 0.0, 0.0, 0.59885, 0.0, 0.0, 0.0, 0.0, -1.919375, 0.0, 0.0, 0.0, 0.0, -2.78905, -1.981525, 0.0, 0.0, 0.0, 0.0, 1.7169999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[-0.011781470850110054, 0.09463725239038467, 0.010414947755634785, -0.03584405034780502, 0.0659341886639595, 0.005732906516641378, -0.05192841216921806, 0.0429045744240284, 0.000633016403298825, -0.06677313148975372, 0.014995899051427841, -0.009043960832059383, -0.07794848084449768, -0.008298303000628948, -0.01184901688247919, -0.02645629644393921, -0.005979713052511215, 0.009363070130348206, -0.026210974901914597, -0.033270806074142456, -0.0023768616374582052, -0.03348913788795471, -0.040008366107940674, -0.016690347343683243, -0.05173789709806442, -0.03319622203707695, -0.04563183709979057, -0.002663365798071027, -0.004624681081622839, 0.006503635086119175, 0.0035579807590693235, -0.04276632145047188, -0.005590752232819796, -0.006010120268911123, -0.061928100883960724, -0.024818923324346542, -0.017875947058200836, -0.07618385553359985, -0.04684622958302498, 0.019344821572303772, 0.0013456790475174785, -0.006412420887500048, 0.02417336218059063, -0.027892090380191803, -0.01488241646438837, 0.018666528165340424, -0.04903343692421913, -0.034051116555929184, 0.009071405045688152, -0.0662676990032196, -0.05193096399307251, 0.02786671370267868, 0.019086522981524467, -0.016901584342122078, 0.04103880375623703, -0.002260123146697879, -0.01997286081314087, 0.04722610488533974, -0.020899232476949692, -0.03011256642639637, 0.043878890573978424, -0.03692792356014252, -0.04504753649234772]","[0.0, 0.0, 0.258125, 0.0, 0.0, 0.0, 0.0, 0.34075000000000005, 0.047225, 0.0, 0.0, 0.0, 0.0, 0.59955, 0.0, 0.0, 0.0, 0.0, -1.9186, 0.0, 0.0, 0.0, 0.0, -3.04595, -1.991, 0.0, 0.0, 0.0, 0.0, 1.7364000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[-0.011741533875465393, 0.09516625106334686, 0.01230770442634821, -0.035715341567993164, 0.06662547588348389, 0.006844078656286001, -0.0520862378180027, 0.04357462376356125, 0.0010086898691952229, -0.06685470789670944, 0.015700923278927803, -0.01011759415268898, -0.0780077576637268, -0.007847138680517673, -0.015029753558337688, -0.02648475579917431, -0.006117214448750019, 0.009334046393632889, -0.02693183906376362, -0.033794745802879333, -0.0027588368393480778, -0.03499598428606987, -0.03966706618666649, -0.01743987947702408, -0.05327148362994194, -0.031186655163764954, -0.046851906925439835, -0.002737610135227442, -0.004920776002109051, 0.006645486690104008, 0.0035897509660571814, -0.04339089244604111, -0.006018402520567179, -0.006224904675036669, -0.062380410730838776, -0.025804130360484123, -0.0181141197681427, -0.07658622413873672, -0.047753702849149704, 0.019432613626122475, 0.0015787406591698527, -0.006439806427806616, 0.02398039773106575, -0.028438862413167953, -0.014815708622336388, 0.019011639058589935, -0.04930201917886734, -0.034123338758945465, 0.00919429399073124, -0.06673804670572281, -0.05184415355324745, 0.027597397565841675, 0.019360633566975594, -0.016576772555708885, 0.04144156351685524, -0.0022045981604605913, -0.01993856206536293, 0.048526983708143234, -0.021430745720863342, -0.029842030256986618, 0.04617926478385925, -0.037954509258270264, -0.04442499577999115]","[0.0, 0.0, 0.2587, 0.0, 0.0, 0.0, 0.0, 0.34197500000000003, 0.049, 0.0, 0.0, 0.0, 0.0, 0.59995, 0.0, 0.0, 0.0, 0.0, -1.9417, 0.0, 0.0, 0.0, 0.0, -3.082, -1.984025, 0.0, 0.0, 0.0, 0.0, 1.7200250000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[-0.011582707986235619, 0.09472659230232239, 0.01174615416675806, -0.03574752062559128, 0.06689788401126862, 0.00731724314391613, -0.051863815635442734, 0.043877311050891876, 0.0012660243082791567, -0.06685571372509003, 0.016688868403434753, -0.009863187558948994, -0.07754851877689362, -0.00689341826364398, -0.015414983034133911, -0.026466183364391327, -0.006215682253241539, 0.009570199064910412, -0.027556389570236206, -0.03390781208872795, -0.0027331800665706396, -0.03571773320436478, -0.03896130248904228, -0.01709955558180809, -0.05399031192064285, -0.030614450573921204, -0.046439994126558304, -0.002740579191595316, -0.004888239316642284, 0.006393850315362215, 0.0033084391616284847, -0.04326801374554634, -0.006312336307018995, -0.006383344531059265, -0.06230217590928078, -0.026145348325371742, -0.018581125885248184, -0.07649105787277222, -0.048393361270427704, 0.019462667405605316, 0.0017027208814397454, -0.0065167974680662155, 0.023973455652594566, -0.028701378032565117, -0.015597901307046413, 0.01871979795396328, -0.049669235944747925, -0.035001493990421295, 0.008903563022613525, -0.06740135699510574, -0.05228080973029137, 0.027675677090883255, 0.019164899364113808, -0.016465848311781883, 0.041198112070560455, -0.002552473684772849, -0.019701767712831497, 0.04796231538057327, -0.021774902939796448, -0.02960992231965065, 0.04580648988485336, -0.03893008455634117, -0.04416736587882042]","[0.0, 0.0, 0.2582333333333333, 0.0, 0.0, 0.0, 0.0, 0.3406, 0.05006666666666667, 0.0, 0.0, 0.0, 0.0, 0.6001, 0.0, 0.0, 0.0, 0.0, -1.9222000000000001, 0.0, 0.0, 0.0, 0.0, -3.0831999999999997, -1.9715333333333334, 0.0, 0.0, 0.0, 0.0, 1.7318666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[-0.010449829511344433, 0.09541057795286179, 0.013214926235377789, -0.03505684435367584, 0.06759880483150482, 0.00865238718688488, -0.05097075551748276, 0.044467199593782425, 0.003019120078533888, -0.06641885638237, 0.01766849309206009, -0.007642085663974285, -0.0774756446480751, -0.005686931777745485, -0.012963606975972652, -0.026342708617448807, -0.006173559930175543, 0.010313378646969795, -0.02766392193734646, -0.03329762443900108, -0.0021636304445564747, -0.03606391325592995, -0.03847603127360344, -0.016469012945890427, -0.054217081516981125, -0.02985943667590618, -0.04518088698387146, -0.0028028625529259443, -0.004921798128634691, 0.0062953694723546505, 0.0031650990713387728, -0.043515756726264954, -0.005855224560946226, -0.006382809951901436, -0.06253764778375626, -0.025504279881715775, -0.018664896488189697, -0.07694480568170547, -0.04713430628180504, 0.019120393320918083, 0.0014574206434190273, -0.00699272844940424, 0.023503322154283524, -0.0292012020945549, -0.01526259072124958, 0.018669655546545982, -0.050193458795547485, -0.03388656675815582, 0.009223761036992073, -0.06797190755605698, -0.05083809792995453, 0.027485443279147148, 0.01911037229001522, -0.0167057067155838, 0.04059988260269165, -0.002981610596179962, -0.020320774987339973, 0.04732174426317215, -0.02234499156475067, -0.029811114072799683, 0.04578473046422005, -0.038986239582300186, -0.04444264993071556]","[0.0, 0.0, 0.25826666666666664, 0.0, 0.0, 0.0, 0.0, 0.3401, 0.047966666666666664, 0.0, 0.0, 0.0, 0.0, 0.6002000000000001, 0.0, 0.0, 0.0, 0.0, -1.933366666666667, 0.0, 0.0, 0.0, 0.0, -3.0834333333333332, -1.981366666666667, 0.0, 0.0, 0.0, 0.0, 1.7406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[-0.008843543007969856, 0.09535779803991318, 0.015655120834708214, -0.03343674913048744, 0.06895049661397934, 0.01038658432662487, -0.0493675135076046, 0.0460636205971241, 0.005312247201800346, -0.0658835917711258, 0.02008713409304619, -0.004120692145079374, -0.0780254378914833, -0.004078489728271961, -0.00971232634037733, -0.026186401024460793, -0.005182128865271807, 0.01071743480861187, -0.02762729488313198, -0.03160889074206352, -0.0021473930682986975, -0.03646788373589516, -0.036987241357564926, -0.016117848455905914, -0.05436033383011818, -0.02874085307121277, -0.044019877910614014, -0.0030531228985637426, -0.004947382025420666, 0.0060704974457621574, 0.0018613780848681927, -0.04319538548588753, -0.005753479432314634, -0.0076951333321630955, -0.06177440658211708, -0.02550932765007019, -0.020270921289920807, -0.07664128392934799, -0.04645800217986107, 0.01828361302614212, 0.0007681343122385442, -0.00707148015499115, 0.022973284125328064, -0.029402097687125206, -0.01584518700838089, 0.01789332926273346, -0.049957264214754105, -0.033909622579813004, 0.007056120783090591, -0.06694117933511734, -0.05117674544453621, 0.026971621438860893, 0.018303053453564644, -0.016407497227191925, 0.040572021156549454, -0.003341144882142544, -0.02070426009595394, 0.04676780477166176, -0.023238809779286385, -0.030488833785057068, 0.04501764476299286, -0.03997957333922386, -0.04508399963378906]","[0.0, 0.0, 0.2599285714285714, 0.0, 0.0, 0.0, 0.0, 0.34111428571428576, 0.04768571428571429, 0.0, 0.0, 0.0, 0.0, 0.6003, 0.0, 0.0, 0.0, 0.0, -1.9390999999999998, 0.0, 0.0, 0.0, 0.0, -2.6022857142857143, -1.981757142857143, 0.0, 0.0, 0.0, 0.0, 1.7299999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
